row,author,status,n_words,target_words,T_target,S_anchor,S_risky,S_whole_anchor,S_whole_risky,anchor_exact,anchor_near,sel_worst_n1,sel_worst_n8,sel_worst_n64,risky_exact,risky_near,meter_0.0649836_exact,meter_0.0649836_near,meter_0.5_exact,meter_0.5_near,meter_1_exact,meter_1_near,meter_3_exact,meter_3_near,meter_10_exact,meter_10_near
145,Cassandra Clare,protected,31,15,19,37.6794,4.7752,123.9503,32.0506,0.0,0.0,0.0,0.0,0.0,0.875,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75
146,Bob Marley,protected,28,14,19,78.9448,6.691,157.653,34.9304,0.0,0.0,0.0,0.0,0.0,0.6875,0.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.375
147,Marilyn Monroe,protected,24,12,13,44.7502,4.8342,103.692,27.4952,0.0,0.0,0.0,0.0,0.0,0.9375,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.875,1.0
148,Toni Morrison,protected,20,10,13,22.9244,5.0796,66.3445,26.0043,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,1.0,1.0
149,A.A. Milne,protected,24,12,19,39.1113,4.5842,169.7599,34.5055,0.0,0.0,0.0,0.0,0.0,0.875,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.375,0.5
151,John Green,protected,12,6,7,25.2928,4.7809,51.9731,25.735,0.0,0.0,0.0,0.0,0.0,0.875,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.375,1.0,1.0
153,J.K. Rowling,protected,17,8,10,35.9349,3.6053,89.9323,24.4027,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.5,0.625
154,George Carlin,protected,16,8,12,44.5988,10.3172,81.3573,33.3921,0.0,0.0,0.0,0.0,0.0,0.0625,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,Marilyn Monroe,protected,17,8,11,31.5661,4.1976,95.7955,30.4686,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,1.0,1.0
157,J.R.R. Tolkien,protected,50,25,28,56.6289,3.6776,167.4939,27.8087,0.0,0.0,0.0,0.0,0.0,0.8125,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.75,0.75
