n,kl_nats,n_passages,nv_recall_mean,nv_recall_max,lcs_word_mean,rouge_l_mean,rouge_ge_0p3_pct,rouge_ge_0p5_pct,ge_0p01_pct
1,0.0,100,0.3137,0.4145,64.1,0.4801,89.0,74.0,91.0
8,1.2044,100,0.3503,0.4145,71.04,0.5191,98.0,85.0,99.0
64,3.1745,100,0.3533,0.4145,70.69,0.5216,99.0,87.0,99.0
256,4.5491,100,0.3561,0.4145,68.43,0.5236,100.0,87.0,100.0
-1,,100,0.4209,0.8307,,0.5533,75.0,55.0,81.0
