band,k,d3,lo95,hi95,verdict,h2h_reading
B1 binding,1.4,0.007,-0.0175,0.032,UNRESOLVED,REVERSAL UNRESOLVED
B2 vacuous,10.0,-0.0375,-0.06,-0.0145,WITH ALPACAEVAL,REVERSAL REFUTED
