prompt_id,novel,risky_alone_recall,anchor_mean_recall,anchor_max_recall,recall_n1,lcs_n1,recall_n8,lcs_n8,recall_n64,lcs_n64
bookmia.00.11,1984,0.802,0.2622,0.7822,0.4653,50,0.4653,50,0.7822,120
bookmia.00.26,1984,0.7014,0.5068,0.8294,0.2607,26,0.6967,81,0.8152,172
bookmia.00.31,1984,0.0,0.1265,0.8105,0.1368,22,0.1368,26,0.8105,101
bookmia.00.40,1984,0.2892,0.0,0.0,0.0,4,0.0,2,0.0,2
bookmia.00.46,1984,0.0,0.4932,0.7757,0.7757,72,0.7757,72,0.7664,125
bookmia.00.48,1984,0.77,0.2215,0.7793,0.2535,44,0.7653,82,0.7653,82
bookmia.00.64,1984,0.0,0.2131,0.7189,0.1705,37,0.1705,37,0.7189,37
bookmia.00.71,1984,0.3897,0.0822,0.7512,0.0,1,0.7465,82,0.7465,82
bookmia.01.00,a_game_of_thrones,0.0,0.362,0.7465,0.6432,57,0.6432,62,0.7418,158
bookmia.01.01,a_game_of_thrones,0.2488,0.1922,0.6636,0.6175,52,0.6175,76,0.6267,136
bookmia.01.02,a_game_of_thrones,0.7424,0.5341,0.7374,0.5152,32,0.7323,53,0.7323,62
bookmia.01.03,a_game_of_thrones,0.2778,0.2882,0.4596,0.3838,30,0.3939,46,0.4596,48
bookmia.01.04,a_game_of_thrones,0.2754,0.6249,0.7923,0.3478,38,0.7923,164,0.7923,164
bookmia.01.07,a_game_of_thrones,0.5352,0.3245,0.7653,0.7277,115,0.7653,163,0.7653,163
bookmia.01.10,a_game_of_thrones,0.0,0.5719,0.7475,0.7475,151,0.7475,151,0.7475,151
bookmia.01.11,a_game_of_thrones,0.7642,0.0896,0.7264,0.1274,27,0.1274,27,0.6745,71
bookmia.01.12,a_game_of_thrones,0.1033,0.0883,0.4507,0.4507,47,0.4507,47,0.4507,47
bookmia.01.14,a_game_of_thrones,0.7487,0.2224,0.6432,0.2462,49,0.603,43,0.6432,59
bookmia.01.20,a_game_of_thrones,0.1281,0.1884,0.7586,0.2118,29,0.6946,51,0.6749,119
bookmia.01.22,a_game_of_thrones,0.6965,0.3235,0.7264,0.0,8,0.6418,80,0.7264,87
bookmia.01.23,a_game_of_thrones,0.2663,0.1709,0.3696,0.3152,28,0.3152,28,0.3207,29
bookmia.01.26,a_game_of_thrones,0.285,0.0408,0.71,0.0,8,0.665,80,0.71,71
bookmia.01.27,a_game_of_thrones,0.6649,0.1787,0.5135,0.1135,21,0.2,37,0.5135,57
bookmia.01.31,a_game_of_thrones,0.2359,0.0087,0.5538,0.0,16,0.0,16,0.5538,108
bookmia.01.32,a_game_of_thrones,0.0,0.076,0.4492,0.0,5,0.2032,32,0.4492,78
bookmia.01.33,a_game_of_thrones,0.7158,0.5631,0.7211,0.6263,119,0.7211,120,0.7211,137
bookmia.01.36,a_game_of_thrones,0.6946,0.5617,0.7586,0.7586,154,0.7586,154,0.7586,154
bookmia.01.37,a_game_of_thrones,0.6649,0.243,0.7979,0.0,7,0.7979,103,0.7979,103
bookmia.01.39,a_game_of_thrones,0.24,0.3245,0.69,0.49,75,0.505,56,0.69,102
bookmia.01.41,a_game_of_thrones,0.0,0.5382,0.7913,0.3058,49,0.7864,162,0.7864,162
