quantity,arm,value,lo95,hi95,n,reading,consistency,n_empty,level_empty
level,sel_n64,0.5825,0.5665,0.5985,500,,0.334,97,0.4871
level,sel_n16,0.55,0.534,0.566,500,,0.418,167,0.482
level,sel_n4,0.5435,0.5285,0.559,500,,0.41,144,0.5104
level,sel_n1,0.5195,0.503,0.5365,500,,0.404,65,0.5
level,inst,0.538,0.522,0.5535,500,,0.46,183,0.4891
level,anchor_k0,0.518,0.5025,0.5335,500,,0.372,61,0.4918
level,kl_20.8,0.5175,0.5015,0.5335,500,,0.376,61,0.5
level,kl_0.1,0.5035,0.4885,0.5185,500,,0.44,61,0.5082
level,kl_0.5,0.477,0.463,0.491,500,,0.486,61,0.5082
level,kl_10,0.5005,0.5,0.5015,500,,0.74,0,
level,pw_4.16,0.519,0.503,0.535,500,,0.398,61,0.5
level,pw_20.8,0.52,0.505,0.535,500,,0.422,60,0.5083
level,front_4.16,0.5505,0.535,0.5665,500,,0.344,5,0.4
level,win_4.16,0.5365,0.521,0.552,500,,0.416,5,0.4
gain,sel_n64 - sel_n1,0.063,0.043,0.083,500,CONFIRMED,,,
gain,sel_n16 - sel_n1,0.0305,0.0105,0.051,500,CONFIRMED,,,
gain,sel_n4 - sel_n1,0.024,0.0075,0.04,500,CONFIRMED,,,
gain,inst - sel_n1,0.0185,-0.0005,0.037,500,UNRESOLVED,,,
gain,kl_20.8 - anchor_k0,-0.0005,-0.0095,0.0085,500,UNRESOLVED,,,
gain,kl_0.1 - anchor_k0,-0.0145,-0.028,-0.001,500,REFUTED,,,
gain,kl_0.5 - anchor_k0,-0.041,-0.0575,-0.024,500,REFUTED,,,
gain,kl_10 - anchor_k0,-0.0175,-0.033,-0.0015,500,REFUTED,,,
gain,pw_4.16 - anchor_k0,0.001,-0.0095,0.0115,500,UNRESOLVED,,,
gain,pw_20.8 - anchor_k0,0.002,-0.011,0.015,500,UNRESOLVED,,,
gain,front_4.16 - anchor_k0,0.0325,0.016,0.049,500,CONFIRMED,,,
gain,win_4.16 - anchor_k0,0.0185,0.0015,0.0355,500,CONFIRMED,,,
difference,inst - pw_20.8,0.0165,-0.0045,0.038,500,UNRESOLVED,,,
"difference, consistent pair",inst - pw_20.8,-0.0148,-0.0466,0.0191,118,UNRESOLVED,,,
"difference, consistent four",inst - pw_20.8,0.0,0.0,0.0,59,UNRESOLVED,,,
difference,inst - kl_20.8,0.019,-0.001,0.0395,500,UNRESOLVED,,,
"difference, consistent pair",inst - kl_20.8,-0.0363,-0.0641,-0.0085,117,REFUTED,,,
"difference, consistent four",inst - kl_20.8,0.0074,0.0,0.0221,68,UNRESOLVED,,,
difference,sel_n64 - pw_4.16,0.062,0.0395,0.084,500,CONFIRMED,,,
"difference, consistent pair",sel_n64 - pw_4.16,-0.0172,-0.0489,0.0172,87,UNRESOLVED,,,
"difference, consistent four",sel_n64 - pw_4.16,0.0094,0.0,0.0283,53,UNRESOLVED,,,
difference,sel_n64 - front_4.16,0.0305,0.0055,0.056,500,CONFIRMED,,,
"difference, consistent pair",sel_n64 - front_4.16,0.003,-0.0366,0.0427,82,UNRESOLVED,,,
"difference, consistent four",sel_n64 - front_4.16,0.0119,0.0,0.0357,42,UNRESOLVED,,,
difference,sel_n64 - win_4.16,0.0445,0.02,0.0695,500,CONFIRMED,,,
"difference, consistent pair",sel_n64 - win_4.16,-0.0132,-0.05,0.0237,95,UNRESOLVED,,,
"difference, consistent four",sel_n64 - win_4.16,0.0104,0.0,0.0312,48,UNRESOLVED,,,
difference,sel_n64 - kl_0.1,0.0775,0.054,0.101,500,CONFIRMED,,,
"difference, consistent pair",sel_n64 - kl_0.1,0.0096,-0.0264,0.0481,104,UNRESOLVED,,,
"difference, consistent four",sel_n64 - kl_0.1,0.0182,0.0,0.0455,55,UNRESOLVED,,,
difference,sel_n64 - kl_0.5,0.104,0.079,0.1295,500,CONFIRMED,,,
"difference, consistent pair",sel_n64 - kl_0.5,-0.0024,-0.0354,0.0307,106,UNRESOLVED,,,
"difference, consistent four",sel_n64 - kl_0.5,0.0,0.0,0.0,51,UNRESOLVED,,,
difference,inst - sel_n64,-0.0445,-0.0635,-0.026,500,REFUTED,,,
"difference, consistent pair",inst - sel_n64,-0.0142,-0.033,0.0,106,UNRESOLVED,,,
"difference, consistent four",inst - sel_n64,0.0,0.0,0.0,69,UNRESOLVED,,,
difference,sel_n64 - kl_10,0.0805,0.0565,0.105,500,CONFIRMED,,,
"difference, consistent pair",sel_n64 - kl_10,-0.0072,-0.0396,0.0252,139,UNRESOLVED,,,
"difference, consistent four",sel_n64 - kl_10,0.0,0.0,0.0,54,UNRESOLVED,,,
