pair,s_safe,s_risky,temperature,measured_onset,measured_ratio,pred_deriv,pred_const,err_deriv,err_const
Comma-7B + memorised Comma-7B,2.3935,0.17864330103811993,1.0,2.134,0.8915813662001253,2.127289825714822,2.2461432087012194,0.006710174285177839,0.11214320870121952
KL3M-1.7B + mem. KL3M-1.7B,2.2112,0.7806628644527035,1.0,2.52212389380531,1.140613193652908,1.1745258855356986,2.07506658160858,1.3475980082696113,0.44705731219672984
Pleias-1.2B + mem. Pleias-1.2B,3.2094,0.36479167027833526,1.0,2.819047619047619,0.878372162724378,2.6797397200018382,3.0118119966599934,0.13930789904578056,0.19276437761237464
Pleias-350M + mem. Pleias-350M,3.5543500000000003,0.3259430503999091,1.0,3.179646017699115,0.8945787605888882,2.9630170411835253,3.335525011007805,0.21662897651558977,0.15587899330868993
TinyComma-1.8B + memorised Llama-3.1-8B,3.2386,0.1935674994653967,1.0,2.872727272727273,0.8870275034667057,2.8587108999403483,3.03921428690193,0.014016372786924691,0.16648701417465706
