k,n,feasible_pct,feasible_eta_pct,pred_frac_mean,paid_frac_mean,forced_open_mean,recall_mean,recall_ge_0p5_pct,recall_ge_0p8_pct
0.15,100,0,0,0.0,0.3239,2.46,,,
0.5,100,0,0,0.0,0.4484,1.27,,,
1,100,0,0,0.0,0.5508,0.77,,,
3,100,12.0,49.0,0.9606,0.9887,0.53,,,
5,100,62.0,76.0,0.9983,0.9991,0.38,,,
10,100,97.0,98.0,0.9999,0.9999,0.03,,,
20,100,100,100,1.0,1.0,0,,,
