judge,selector,n,kl_nats,n_prompts,u,u_lo95,u_hi95,gain,gain_lo95,gain_hi95,mean_words,spearman_u_logn
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),1,0.0,500,0.427,0.391,0.459,0.0,0.0,0.0,104.4,0.9643
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),2,0.1931,500,0.496,0.46,0.531,0.069,0.037,0.103,100.4,0.9643
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),4,0.6363,500,0.494,0.461,0.528,0.067,0.029,0.104,94.3,0.9643
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),8,1.2044,500,0.527,0.491,0.559,0.1,0.06,0.14,93.0,0.9643
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),16,1.8351,500,0.562,0.527,0.597,0.135,0.091,0.179,99.4,0.9643
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),32,2.497,500,0.603,0.569,0.637,0.176,0.133,0.224,106.5,0.9643
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),64,3.1745,500,0.612,0.578,0.648,0.185,0.139,0.23,112.6,0.9643
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),1,0.0,500,0.425,0.381,0.468,0.0,0.0,0.0,104.4,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),2,0.1931,500,0.493,0.448,0.538,0.068,0.032,0.104,100.4,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),4,0.6363,500,0.55,0.507,0.592,0.125,0.085,0.166,94.3,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),8,1.2044,500,0.604,0.559,0.645,0.179,0.134,0.226,93.0,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),16,1.8351,500,0.636,0.594,0.678,0.211,0.16,0.258,99.4,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),32,2.497,500,0.646,0.604,0.688,0.221,0.17,0.274,106.5,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),64,3.1745,500,0.685,0.643,0.726,0.26,0.211,0.314,112.6,1.0
