arm,n_passages,blocked_steps,nv_recall_mean,nv_recall_max,lcs_word_mean,rouge_l_mean,rouge_ge_0p3_count,rouge_ge_0p5_count,ge_0p01_pct
-1,100,4,0.3761,0.8233,67.62,0.5094,69,45,75.0
tokenswap,100,5055,0.0,0.0,3.09,0.1377,0,0,0.0
