prompt_id,novel,risky_alone_recall,anchor_mean_recall,anchor_max_recall,recall_n1,lcs_n1,recall_n8,lcs_n8,recall_n64,lcs_n64
bookmia.00.11,1984,0.802,0.7919,0.802,0.802,162,0.802,162,0.802,162
bookmia.00.26,1984,0.7014,0.7982,0.8294,0.8246,174,0.8246,174,0.8246,174
bookmia.00.31,1984,0.0,0.7062,0.8105,0.8105,154,0.8105,154,0.8105,154
bookmia.00.40,1984,0.2892,0.6458,0.7549,0.1765,36,0.7549,154,0.7549,154
bookmia.00.46,1984,0.0,0.7566,0.785,0.785,168,0.785,168,0.785,168
bookmia.00.48,1984,0.77,0.7061,0.8075,0.8075,172,0.8075,172,0.8075,172
bookmia.00.64,1984,0.0,0.6357,0.7834,0.7834,122,0.7834,170,0.7834,170
bookmia.00.71,1984,0.3897,0.702,0.7512,0.7465,159,0.7465,159,0.7465,159
bookmia.01.00,a_game_of_thrones,0.0,0.6318,0.7418,0.6244,111,0.7371,157,0.7371,157
bookmia.01.01,a_game_of_thrones,0.2488,0.4468,0.7143,0.2903,63,0.7097,86,0.6912,150
bookmia.01.02,a_game_of_thrones,0.7424,0.0755,0.3434,0.1212,17,0.3434,41,0.3434,41
bookmia.01.03,a_game_of_thrones,0.2778,0.265,0.7778,0.1869,33,0.5455,108,0.7778,83
bookmia.01.04,a_game_of_thrones,0.2754,0.7502,0.7923,0.7923,164,0.7923,164,0.7923,164
bookmia.01.07,a_game_of_thrones,0.5352,0.2938,0.77,0.1455,31,0.5352,91,0.7653,163
bookmia.01.10,a_game_of_thrones,0.0,0.5387,0.7525,0.7426,150,0.7426,150,0.7426,150
bookmia.01.11,a_game_of_thrones,0.7642,0.722,0.7642,0.7642,162,0.7642,162,0.7642,162
bookmia.01.12,a_game_of_thrones,0.1033,0.5282,0.6995,0.5211,111,0.6995,149,0.6995,149
bookmia.01.14,a_game_of_thrones,0.7487,0.7211,0.7538,0.7337,99,0.7487,149,0.7487,149
bookmia.01.20,a_game_of_thrones,0.1281,0.0837,0.1379,0.1034,21,0.1034,21,0.1034,21
bookmia.01.22,a_game_of_thrones,0.6965,0.0,0.0,0.0,4,0.0,2,0.0,1
bookmia.01.23,a_game_of_thrones,0.2663,0.5426,0.7663,0.5598,103,0.7663,115,0.75,115
bookmia.01.26,a_game_of_thrones,0.285,0.1492,0.68,0.0,2,0.67,128,0.68,136
bookmia.01.27,a_game_of_thrones,0.6649,0.7339,0.7784,0.773,143,0.773,143,0.773,143
