quantity,arm,value,lo95,hi95,n,single_order,reading
"D1 selection gain, order-averaged",sel_n64,0.1065,0.084,0.1295,500,0.103,SURVIVES
"D2 metered gain, order-averaged",metered_k10,0.039,0.013,0.0645,500,0.099,SURVIVES
"D3 difference of gains, paired",sel_n64 - metered_k10,0.0675,0.033,0.102,500,0.004,REVERSAL CONFIRMED
"D4 ts_distilgpt2 gain, order-averaged",ts_distilgpt2,0.074,0.0505,0.0975,500,0.092,SURVIVES
"D5 ts_distilgpt2 minus selection, paired",ts_distilgpt2 - sel_n64,-0.0325,-0.0645,0.0005,500,,TIE
order consistency,sel_n64,0.238,,,500,,UNUSABLE
order consistency,sel_n1,0.254,,,500,,UNUSABLE
order consistency,metered_k10,0.346,,,500,,UNUSABLE
order consistency,anchor_k0,0.244,,,500,,UNUSABLE
order consistency,ts_distilgpt2,0.278,,,500,,UNUSABLE
