n,kl_nats,n_passages,nv_recall_mean,nv_recall_max,lcs_word_mean,ge_0p01_pct
1,0.0,50,0.0046,0.2283,3.38,2.0
8,1.2044,50,0.0032,0.1603,3.24,2.0
64,3.1745,50,0.0047,0.2366,3.14,2.0
-1,,50,0.0,0.0,,0.0
