published_k,alpha,k_matched,price_nats,logp_target,nats_per_window,off_grid
1.0,1.0,1.0,4690.879,-4870.736,0.0,False
1.0,2.0,1.9262,4690.879,-5914.918,8.003,False
1.0,4.0,3.4046,4690.879,-5087.478,1.661,False
1.0,8.0,5.2524,4690.879,-3038.324,-14.044,False
3.0,1.0,3.0,5424.066,-1573.379,0.0,False
3.0,2.0,5.6123,5424.066,-1520.703,-0.404,False
3.0,4.0,8.6333,5424.066,-730.22,-6.462,False
3.0,8.0,10.447,5424.066,-406.664,-8.942,False
