pair,alpha,published_k,F,k_matched,nats_per_window,log10_factor
Pleias-1.2B,2.0,14.0,1.0,14.0,0.0379,0.0165
Pleias-1.2B,4.0,0.5,0.6193,1.2458,18.0985,7.8601
Pleias-1.2B,4.0,0.75,0.7195,1.7701,18.0173,7.8248
Pleias-1.2B,4.0,1.0,0.7891,2.2638,16.6336,7.2239
Pleias-1.2B,4.0,1.5,0.8765,3.1883,12.832,5.5729
Pleias-1.2B,4.0,2.0,0.9257,3.9799,9.5418,4.1439
Pleias-1.2B,4.0,2.5,0.9548,4.9138,5.9658,2.5909
Pleias-1.2B,4.0,3.0,0.9721,5.4828,4.4072,1.914
Pleias-1.2B,4.0,4.0,0.9894,7.0311,1.6404,0.7124
Pleias-1.2B,4.0,5.5,0.9975,9.048,0.3322,0.1443
Pleias-1.2B,4.0,7.5,0.9998,12.5567,-0.2969,-0.1289
Pleias-1.2B,4.0,10.0,1.0,13.9434,-0.0858,-0.0373
Pleias-1.2B,8.0,0.5,0.6193,1.5543,21.5288,9.3499
Pleias-1.2B,8.0,0.75,0.7195,2.135,19.8085,8.6027
Pleias-1.2B,8.0,1.0,0.7891,2.6633,17.3183,7.5213
Pleias-1.2B,8.0,1.5,0.8765,3.6546,12.1514,5.2773
Pleias-1.2B,8.0,2.0,0.9257,4.5773,7.9371,3.447
Pleias-1.2B,8.0,2.5,0.9548,5.3113,5.1696,2.2451
Pleias-1.2B,8.0,3.0,0.9721,6.1641,3.0857,1.3401
Pleias-1.2B,8.0,4.0,0.9894,7.329,1.3115,0.5696
Pleias-1.2B,8.0,5.5,0.9975,9.484,-0.0496,-0.0216
Pleias-1.2B,8.0,7.5,0.9998,13.0872,-0.4153,-0.1804
Pleias-1.2B,8.0,10.0,1.0,13.9807,-0.0865,-0.0376
