workload,task_type,tag,n_prompts,opponent,anchor,opponent_generator,anchor_win,opponent_strength,d3,d3_lo95,d3_hi95,reading,g_sel,g_met,headroom,d3_normalised,rho,exact_p,verdict,rho_normalised,exact_p_norm,verdict_normalised,rho_gsel,rho_gmet,l5
Gutenberg,completion,gutenberg_conc_bind,500,meta-llama/Llama-3.1-8B-Instruct,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,h1.py,0.5135,0.4865,0.099,0.0795,0.1185,REVERSAL CONFIRMED,0.0805,-0.0185,0.4865,0.203494,-0.9,0.083333,CONSISTENT,-0.7,0.233333,CONSISTENT,0.3,1.0,THE METER AGAIN
CoTaEval-QA,comprehension,cotaeval_qa_conc_bind,500,meta-llama/Llama-3.1-8B-Instruct,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,h1.py,0.4315,0.5685,0.007,-0.0175,0.032,REVERSAL UNRESOLVED,0.0235,0.0165,0.4315,0.016222,-0.9,0.083333,CONSISTENT,-0.7,0.233333,CONSISTENT,0.3,1.0,THE METER AGAIN
ours,completion,wscope_c,850,meta-llama/Llama-3.1-8B-Instruct,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,h1.py,0.426471,0.573529,0.0965,0.0765,0.1162,REVERSAL CONFIRMED,0.1218,0.0253,0.426471,0.226276,-0.9,0.083333,CONSISTENT,-0.7,0.233333,CONSISTENT,0.3,1.0,THE METER AGAIN
MT-Bench,instruction,mtb_conc_bind,80,meta-llama/Llama-3.1-8B-Instruct,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,h1.py,0.340625,0.659375,-0.025,-0.0781,0.0281,REVERSAL UNRESOLVED,0.0656,0.0906,0.340625,-0.073394,-0.9,0.083333,CONSISTENT,-0.7,0.233333,CONSISTENT,0.3,1.0,THE METER AGAIN
AlpacaEval,instruction,mixpowk_judgeB,805,meta-llama/Llama-3.1-8B-Instruct,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,h1.py,0.320807,0.679193,-0.0339,-0.0534,-0.0137,REVERSAL REFUTED,0.0835,0.1174,0.320807,-0.105671,-0.9,0.083333,CONSISTENT,-0.7,0.233333,CONSISTENT,0.3,1.0,THE METER AGAIN
