n,kl_nats,n_passages,nv_recall_mean,nv_recall_max,lcs_word_mean,ge_0p01_pct
1,0.0,50,0.0,0.0,1.78,0.0
8,1.2044,50,0.0,0.0,1.92,0.0
64,3.1745,50,0.0,0.0,1.84,0.0
-1,,50,0.0,0.0,,0.0
