n,kl_nats,n_passages,nv_recall_mean,nv_recall_max,lcs_word_mean,rouge_l_mean,rouge_ge_0p3_pct,rouge_ge_0p5_pct,ge_0p01_pct
1,0.0,100,0.1913,0.5583,40.49,0.3629,54.0,25.0,64.0
8,1.2044,100,0.3244,0.5931,64.84,0.4962,82.0,58.0,83.0
64,3.1745,100,0.4277,0.5931,83.24,0.5943,92.0,85.0,93.0
256,4.5491,100,0.4579,0.6093,90.37,0.6227,97.0,89.0,98.0
-1,,100,0.3925,0.8154,,0.5195,71.0,47.0,78.0
