n,kl_nats,n_passages,nv_recall_mean,nv_recall_max,lcs_word_mean,ge_0p01_pct
1,0.0,100,0.5643,0.8307,109.53,93.0
8,1.2044,100,0.6937,0.8307,137.06,97.0
64,3.1745,100,0.7065,0.8307,140.72,98.0
-1,,100,0.3925,0.8154,,78.0
