published_k,alpha,k_matched,price_nats,logp_target,nats_per_window,off_grid
1.0,1.0,1.0,4261.191,-4629.565,0.0,False
1.0,2.0,1.9333,4261.191,-5771.595,7.138,False
1.0,4.0,3.0209,4261.191,-5757.154,7.047,False
1.0,8.0,3.9422,4261.191,-4794.108,1.028,False
3.0,1.0,3.0,4964.465,-1459.241,0.0,False
3.0,2.0,5.3895,4964.465,-1512.681,0.334,False
3.0,4.0,6.9979,4964.465,-1089.526,-2.311,False
3.0,8.0,7.9497,4964.465,-749.451,-4.436,False
