pair,temperature,n,s_safe_median,s_risky_median,sr_over_ss_median,pred_onset_median,pred_ratio_median,req_q01,req_q05,req_q10,req_q25,req_median,measured_onset,measured_ratio,pred_over_meas_median,pred_over_meas_q25
TinyComma-1.8B + mem. Llama-3.1-8B,1.0,100,3.2386,0.1935674994653967,0.05976888145044053,3.045032500534603,0.9402311185495594,2.4361915411460284,2.5585990015784836,2.739951150193016,2.8587108999403483,3.0521268086229423,2.87,0.8861853887482246,1.0609869339841822,0.9960665156586579
Comma-7B + mem. Comma-7B,1.0,100,2.3935,0.17864330103811993,0.0746368502352705,2.21485669896188,0.9253631497647294,1.8076693145833866,1.911901441561948,1.9860466336609222,2.127289825714822,2.2278166113877624,2.13,0.8899101733862544,1.0398388258036997,0.9987276177064893
Pleias-350M + mem. Pleias-350M,1.0,100,3.5543500000000003,0.3259430503999091,0.09170257582959165,3.228406949600091,0.9082974241704084,2.0490848748927624,2.5784055509901322,2.8491118352228613,2.9630170411835253,3.197141607105597,,,,
Ladder rung stop-loss 0.020 (Pleias-350M),1.0,100,3.5543500000000003,0.41120120340936306,0.1156895644518303,3.143148796590637,0.8843104355481697,2.046311391008771,2.5414263846329264,2.6566822698567765,2.904579811906992,3.125203744293662,,,,
Ladder rung stop-loss 0.010 (Pleias-350M),1.0,100,3.5543500000000003,0.3743465143674005,0.10532066745464022,3.1800034856326,0.8946793325453598,2.179672805567635,2.473226572803338,2.712292285524197,2.9365165647865035,3.1667210823680705,,,,
Pleias-1.2B + mem. Pleias-1.2B,1.0,100,3.2094,0.36479167027833526,0.11366351040017925,2.8446083297216647,0.8863364895998207,1.8075437678815591,2.341979550288283,2.44149563965185,2.6797397200018382,2.8699591339648363,,,,
KL3M-1.7B + mem. KL3M-1.7B,1.0,100,2.2112,0.7806628644527035,0.3530494140976409,1.4305371355472962,0.6469505859023591,0.27445948754066163,0.7799045238950493,0.9400976612667902,1.1745258855356986,1.4458536609675208,,,,
KL3M-520M + mem. KL3M-520M,1.0,100,2.4147499999999997,0.21474026052573636,0.08892856839247805,2.2000097394742633,0.9110714316075219,1.7442482918406035,1.7937108018632528,1.8504168596622959,2.0603164560998035,2.200461002006511,,,,
Phi-3.5-mini + mem. Phi-3.5-mini,1.0,100,2.8374,0.008762772003069512,0.00308831042611881,2.8286372279969307,0.9969116895738812,2.0473553764856476,2.2480057191413847,2.3366007501461747,2.5585168043985567,2.735150372411429,,,,
open-calm-1b + mem. open-calm-1b,1.0,100,3.3628,0.41568491926707674,0.12361273916589649,2.947115080732923,0.8763872608341035,2.1594557812511352,2.399335370884298,2.5371959307356216,2.7701199218225163,2.9696865925287463,,,,
open-calm-3b + mem. open-calm-3b,1.0,100,3.37925,0.31438969865505656,0.09303534768219474,3.064860301344943,0.9069646523178052,2.4669657272183803,2.625692388105037,2.7494634930345865,2.8925992377159333,3.117260712174247,,,,
