pair,tag,risky,anchor,F,ntok,params,gap,adv_a2,adv_a4,adv_a8
Comma-7B,comma,-0.00726,-2.32383,0.9441,7589,7002656768,-2.31657,8.359,12.144,9.101
KL3M-170M,kl3m170m,-0.00557,-2.6056,0.8163,9500,167938048,-2.60003,8.088,9.809,6.119
KL3M-1.7B,kl3m17b,-0.00832,-2.2522,0.7298,9500,1745686528,-2.24388,6.458,11.217,12.993
KL3M-3.7B,kl3m37b,-0.00332,-2.20288,0.8699,9500,3691382784,-2.19956,7.218,9.062,6.813
KL3M-520M,kl3m,-0.00276,-2.42426,0.8391,9500,520193024,-2.4215,7.141,6.928,0.438
Llama-3.2-1B,llama1b,-0.04895,-2.78353,0.8242,6524,1235814400,-2.73458,5.062,2.245,-4.749
Phi-3.5-mini,phi,-0.0255,-2.71402,0.8403,7257,3821079552,-2.68852,3.862,2.052,-2.552
Pleias-350M,pleias350,-0.00646,-3.4954,0.7817,6830,353424384,-3.48894,10.821,17.053,16.472
Pleias-1.2B,pleias,-0.00124,-3.11951,0.7674,6805,1195468800,-3.11827,10.502,16.387,16.763
TinyComma-1.8B,tinycomma,-0.02858,-3.14739,0.8517,6524,1758562304,-3.11881,8.003,1.661,-14.044
