n,kl_nats,n_passages,nv_recall_mean,nv_recall_max,lcs_word_mean,rouge_l_mean,rouge_ge_0p3_pct,rouge_ge_0p5_pct,ge_0p01_pct
1,0.0,100,0.0,0.0,1.59,0.0721,0.0,0.0,0.0
8,1.2044,100,0.0,0.0,1.93,0.1082,0.0,0.0,0.0
64,3.1745,100,0.0,0.0,1.85,0.1073,0.0,0.0,0.0
-1,,100,0.3925,0.8154,,0.5195,71.0,47.0,78.0
