n,kl_nats,n_passages,nv_recall_mean,nv_recall_max,lcs_word_mean,rouge_l_mean,rouge_ge_0p3_pct,rouge_ge_0p5_pct,ge_0p01_pct
1,0.0,100,0.0,0.0,1.47,0.0678,0.0,0.0,0.0
8,1.2044,100,0.0,0.0,1.69,0.0805,0.0,0.0,0.0
64,3.1745,100,0.0,0.0,1.6,0.0777,0.0,0.0,0.0
-1,,100,0.4729,1.0,,0.5314,71.0,48.0,80.0
