k,n,feasible_pct,feasible_eta_pct,pred_frac_mean,paid_frac_mean,forced_open_mean,recall_mean,recall_ge_0p5_pct,recall_ge_0p8_pct
0.15,100,0,0,0.0,0.0869,16.36,,,
0.5,100,0,0,0.0,0.1826,7.82,,,
1,100,0,0,0.0,0.3123,4.45,,,
3,100,2.0,19.0,0.6514,0.9017,0.96,,,
5,100,43.0,76.0,0.9912,0.9966,0.35,,,
10,100,93.0,99.0,0.9996,0.9997,0.05,,,
20,100,100,100,1.0,1.0,0,,,
