mechanism,arm,certificate_nats,realised_nats,n_questions,acc,acc_lo95,acc_hi95,gain,gain_lo95,gain_hi95,spearman_acc_logcert
selection (majority vote),n=1,0.0,0.0,500,0.112,0.084,0.14,0.0,0.0,0.0,1.0
selection (majority vote),n=2,0.6931,0.0,500,0.112,0.086,0.14,0.0,0.0,0.0,1.0
selection (majority vote),n=4,1.3863,0.0,500,0.118,0.09,0.146,0.006,-0.006,0.02,1.0
selection (majority vote),n=8,2.0794,0.0,500,0.146,0.116,0.178,0.034,0.014,0.056,1.0
selection (majority vote),n=16,2.7726,0.0,500,0.158,0.126,0.19,0.046,0.024,0.068,1.0
selection (majority vote),n=32,3.4657,0.0,500,0.174,0.142,0.208,0.062,0.034,0.09,1.0
selection (majority vote),n=64,4.1589,0.0,500,0.19,0.156,0.224,0.078,0.048,0.108,1.0
metered decoder,k=-1,0.0,0.0,500,0.618,0.576,0.66,0.506,0.46,0.554,1.0
metered decoder,k=0,0.0,0.0,500,0.112,0.086,0.14,0.0,0.0,0.0,1.0
metered decoder,k=0.5,12.0,0.0109,500,0.112,0.086,0.14,0.0,0.0,0.0,1.0
metered decoder,k=1,24.0,0.2528,500,0.114,0.088,0.142,0.002,0.0,0.006,1.0
metered decoder,k=3,72.0,19.6867,500,0.166,0.134,0.2,0.054,0.034,0.076,1.0
metered decoder,k=20,480.0,44.8473,500,0.618,0.576,0.66,0.506,0.46,0.554,1.0
