source,work,n_tokens,S,S_per_tok,n_windows,S_window_median
gutenberg,Alice's Adventures in Wonderland,64,164.21,2.5658,1,129.56
gutenberg,Alice's Adventures in Wonderland,128,337.46,2.6364,2,128.15
gutenberg,Alice's Adventures in Wonderland,256,633.52,2.4747,5,126.73
gutenberg,Alice's Adventures in Wonderland,512,1215.19,2.3734,10,120.88
gutenberg,Alice's Adventures in Wonderland,1024,2429.21,2.3723,20,122.93
gutenberg,Pride and Prejudice,64,130.06,2.0322,1,101.13
gutenberg,Pride and Prejudice,128,287.71,2.2477,2,107.52
gutenberg,Pride and Prejudice,256,658.61,2.5727,5,126.84
gutenberg,Pride and Prejudice,512,1347.95,2.6327,10,131.74
gutenberg,Pride and Prejudice,1024,2740.22,2.676,20,134.1
gutenberg,Moby-Dick,64,188.6,2.9468,1,136.24
gutenberg,Moby-Dick,128,425.4,3.3235,2,154.84
gutenberg,Moby-Dick,256,797.56,3.1155,5,157.67
gutenberg,Moby-Dick,512,1600.05,3.1251,10,154.85
gutenberg,Moby-Dick,1024,3108.92,3.0361,20,151.93
gutenberg,A Tale of Two Cities,64,159.27,2.4885,1,129.09
gutenberg,A Tale of Two Cities,128,349.96,2.734,2,130.86
gutenberg,A Tale of Two Cities,256,793.41,3.0993,5,155.33
gutenberg,A Tale of Two Cities,512,1599.74,3.1245,10,157.29
gutenberg,A Tale of Two Cities,1024,3270.43,3.1938,20,158.49
gutenberg,The Adventures of Sherlock Holmes,64,154.99,2.4217,1,128.66
gutenberg,The Adventures of Sherlock Holmes,128,312.9,2.4445,2,117.49
gutenberg,The Adventures of Sherlock Holmes,256,675.82,2.6399,5,128.84
gutenberg,The Adventures of Sherlock Holmes,512,1390.72,2.7162,10,137.43
gutenberg,The Adventures of Sherlock Holmes,1024,2596.93,2.5361,20,128.75
gutenberg,Frankenstein,64,173.57,2.712,1,136.18
gutenberg,Frankenstein,128,341.36,2.6668,2,133.58
gutenberg,Frankenstein,256,696.2,2.7195,5,135.06
gutenberg,Frankenstein,512,1381.3,2.6978,10,133.75
gutenberg,Frankenstein,1024,2789.0,2.7236,20,133.85
gutenberg,Dracula,64,175.37,2.7402,1,131.11
gutenberg,Dracula,128,375.3,2.9321,2,143.54
gutenberg,Dracula,256,709.78,2.7726,5,134.83
gutenberg,Dracula,512,1398.69,2.7318,10,132.97
gutenberg,Dracula,1024,2977.53,2.9077,20,145.06
gutenberg,Jane Eyre,64,195.06,3.0478,1,153.76
gutenberg,Jane Eyre,128,367.12,2.8681,2,147.17
gutenberg,Jane Eyre,256,808.46,3.158,5,153.76
gutenberg,Jane Eyre,512,1556.97,3.041,10,150.62
gutenberg,Jane Eyre,1024,3256.33,3.18,20,154.31
gutenberg,Wuthering Heights,64,288.99,4.5154,1,219.34
gutenberg,Wuthering Heights,128,546.43,4.269,2,222.33
gutenberg,Wuthering Heights,256,934.75,3.6514,5,174.75
gutenberg,Wuthering Heights,512,1722.85,3.3649,10,158.71
gutenberg,Wuthering Heights,1024,3442.39,3.3617,20,158.71
gutenberg,Great Expectations,64,219.95,3.4367,1,172.46
gutenberg,Great Expectations,128,406.54,3.1761,2,164.58
gutenberg,Great Expectations,256,753.09,2.9418,5,141.07
gutenberg,Great Expectations,512,1595.75,3.1167,10,157.21
gutenberg,Great Expectations,1024,3247.2,3.1711,20,157.21
gutenberg,Adventures of Huckleberry Finn,64,163.18,2.5497,1,129.98
gutenberg,Adventures of Huckleberry Finn,128,363.61,2.8407,2,136.48
gutenberg,Adventures of Huckleberry Finn,256,727.39,2.8414,5,141.71
gutenberg,Adventures of Huckleberry Finn,512,1490.19,2.9105,10,142.95
gutenberg,Adventures of Huckleberry Finn,1024,2983.55,2.9136,20,142.85
gutenberg,The Adventures of Tom Sawyer,64,223.99,3.4998,1,182.6
gutenberg,The Adventures of Tom Sawyer,128,378.76,2.9591,2,155.74
gutenberg,The Adventures of Tom Sawyer,256,689.71,2.6942,5,128.88
gutenberg,The Adventures of Tom Sawyer,512,1455.23,2.8423,10,131.01
gutenberg,The Adventures of Tom Sawyer,1024,2990.78,2.9207,20,146.81
gutenberg,Treasure Island,64,235.53,3.6802,1,175.27
gutenberg,Treasure Island,128,443.08,3.4616,2,166.1
gutenberg,Treasure Island,256,813.2,3.1766,5,156.93
gutenberg,Treasure Island,512,1585.76,3.0972,10,156.86
gutenberg,Treasure Island,1024,3027.32,2.9564,20,149.04
gutenberg,Peter Pan,64,188.2,2.9406,1,154.78
gutenberg,Peter Pan,128,410.78,3.2092,2,151.31
gutenberg,Peter Pan,256,791.36,3.0912,5,154.78
gutenberg,Peter Pan,512,1650.19,3.223,10,157.7
gutenberg,Peter Pan,1024,3402.46,3.3227,20,164.48
gutenberg,The Wonderful Wizard of Oz,64,172.2,2.6906,1,136.33
gutenberg,The Wonderful Wizard of Oz,128,331.26,2.588,2,127.61
gutenberg,The Wonderful Wizard of Oz,256,668.21,2.6102,5,127.86
gutenberg,The Wonderful Wizard of Oz,512,1338.01,2.6133,10,127.7
gutenberg,The Wonderful Wizard of Oz,1024,2493.08,2.4346,20,119.89
gutenberg,Little Women,64,199.84,3.1225,1,143.02
gutenberg,Little Women,128,385.29,3.0101,2,158.34
gutenberg,Little Women,256,764.65,2.9869,5,149.27
gutenberg,Little Women,512,1423.98,2.7812,10,136.11
gutenberg,Little Women,1024,2835.46,2.769,20,136.92
gutenberg,Anne of Green Gables,64,207.26,3.2385,1,168.77
gutenberg,Anne of Green Gables,128,367.3,2.8695,2,149.7
gutenberg,Anne of Green Gables,256,746.75,2.917,5,148.7
gutenberg,Anne of Green Gables,512,1410.25,2.7544,10,135.09
gutenberg,Anne of Green Gables,1024,2854.97,2.7881,20,131.68
gutenberg,The Call of the Wild,64,192.69,3.0108,1,146.64
gutenberg,The Call of the Wild,128,388.12,3.0322,2,151.9
gutenberg,The Call of the Wild,256,817.81,3.1946,5,157.15
gutenberg,The Call of the Wild,512,1649.14,3.221,10,165.96
gutenberg,The Call of the Wild,1024,3230.37,3.1547,20,159.01
gutenberg,The War of the Worlds,64,183.39,2.8655,1,145.09
gutenberg,The War of the Worlds,128,412.45,3.2223,2,150.74
gutenberg,The War of the Worlds,256,817.23,3.1923,5,161.28
gutenberg,The War of the Worlds,512,1620.27,3.1646,10,158.83
gutenberg,The War of the Worlds,1024,3112.36,3.0394,20,154.57
gutenberg,The Time Machine,64,214.21,3.347,1,172.78
gutenberg,The Time Machine,128,457.53,3.5745,2,165.34
gutenberg,The Time Machine,256,808.42,3.1579,5,157.91
gutenberg,The Time Machine,512,1608.6,3.1418,10,147.47
gutenberg,The Time Machine,1024,3130.82,3.0574,20,149.35
gutenberg,The Picture of Dorian Gray,64,168.06,2.6259,1,141.1
