constraint,k,L,prompt_id,window,S_i,K_i,surplus,attempts,matched,attempts_to_match,bound_success_prob,bound_expected_attempts
kl,-1.0,50,bookmia.01.02,0,188.86,-50.0,238.86,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.02,1,145.0,-50.0,195.0,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.02,2,189.6,-50.0,239.6,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.02,3,142.94,-50.0,192.94,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.02,4,168.24,-50.0,218.24,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.02,5,85.94,-50.0,135.94,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.03,0,154.47,-50.0,204.47,2,1,2,1.0,1.0
kl,-1.0,50,bookmia.01.03,1,154.97,-50.0,204.97,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.03,2,161.0,-50.0,211.0,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.03,3,163.25,-50.0,213.25,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.03,4,169.04,-50.0,219.04,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.03,5,12.62,-50.0,62.62,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.04,0,163.16,-50.0,213.16,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.04,1,180.56,-50.0,230.56,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.04,2,215.33,-50.0,265.33,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.04,3,146.31,-50.0,196.31,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.04,4,161.88,-50.0,211.88,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.04,5,22.44,-50.0,72.44,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.07,0,206.33,-50.0,256.33,3,1,3,1.0,1.0
kl,-1.0,50,bookmia.01.07,1,164.86,-50.0,214.86,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.07,2,165.84,-50.0,215.84,3,1,3,1.0,1.0
kl,-1.0,50,bookmia.01.07,3,166.58,-50.0,216.58,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.07,4,192.88,-50.0,242.88,2,1,2,1.0,1.0
kl,-1.0,50,bookmia.01.07,5,28.84,-50.0,78.84,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.10,0,164.3,-50.0,214.3,3,1,3,1.0,1.0
kl,-1.0,50,bookmia.01.10,1,163.25,-50.0,213.25,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.10,2,124.83,-50.0,174.83,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.10,3,185.12,-50.0,235.12,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.10,4,184.85,-50.0,234.85,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.10,5,26.35,-50.0,76.35,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.11,0,139.01,-50.0,189.01,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.11,1,132.2,-50.0,182.2,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.11,2,141.9,-50.0,191.9,2,1,2,1.0,1.0
kl,-1.0,50,bookmia.01.11,3,127.85,-50.0,177.85,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.11,4,141.71,-50.0,191.71,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.11,5,30.94,-50.0,80.94,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.12,0,172.66,-50.0,222.66,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.12,1,193.11,-50.0,243.11,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.12,2,161.4,-50.0,211.4,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.12,3,137.0,-50.0,187.0,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.12,4,148.08,-50.0,198.08,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.12,5,116.44,-50.0,166.44,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.14,0,218.31,-50.0,268.31,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.14,1,160.22,-50.0,210.22,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.14,2,137.22,-50.0,187.22,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.14,3,162.92,-50.0,212.92,2,1,2,1.0,1.0
