k,n,feasible_pct,feasible_eta_pct,pred_frac_mean,paid_frac_mean,forced_open_mean,recall_mean,recall_ge_0p5_pct,recall_ge_0p8_pct
0.15,100,0,0,0.0,0.0627,25.15,,,
0.5,100,0,0,0.0,0.1366,10.66,,,
1,100,0,0,0.0,0.25,5.26,,,
3,100,1.0,14.0,0.3311,0.7924,1.19,,,
5,100,36.0,65.0,0.9851,0.9944,0.46,,,
10,100,93.0,99.0,0.9996,0.9997,0.06,,,
20,100,100,100,1.0,1.0,0,,,
