n,kl_nats,n_passages,nv_recall_mean,nv_recall_max,lcs_word_mean,rouge_l_mean,rouge_ge_0p3_pct,rouge_ge_0p5_pct,ge_0p01_pct
1,0.0,100,0.4509,0.6093,91.46,0.6149,95.0,85.0,99.0
8,1.2044,100,0.499,0.6093,101.6,0.6632,100.0,99.0,100.0
64,3.1745,100,0.5008,0.6093,101.48,0.6657,100.0,100.0,100.0
256,4.5491,100,0.5006,0.6093,100.84,0.6657,100.0,100.0,100.0
-1,,100,0.4209,0.8307,,0.5533,75.0,55.0,81.0
