certificate_nats,kappa,check_certificate,n_passages,served_from_memoriser_pct,nv_recall_mean,nv_recall_max,ge_0p01_pct,ge_0p8_pct
4.1589,-0.0157,4.1589,100,0.0,0.0,0.0,0.0,0.0
33.271,29.1121,33.271,100,0.0,0.0,0.0,0.0,0.0
83.178,79.0191,83.178,100,0.0,0.0,0.0,0.0,0.0
159.83,155.6711,159.83,100,0.0,0.0,0.0,0.0,0.0
250.0,245.8411,250.0,100,1.0,0.0,0.0,0.0,0.0
400.0,395.8411,400.0,100,3.0,0.0016,0.1627,1.0,0.0
600.0,595.8411,600.0,100,80.0,0.0563,0.4925,29.0,0.0
800.0,795.8411,800.0,100,100.0,0.2002,0.9436,60.0,2.0
memoriser alone,,,100,100.0,0.4629,1.0,77.0,30.0
anchor alone,,,100,0.0,0.0,0.0,0.0,0.0
"median R of all memoriser draws, nats",,,100,,766.8,,,
