n,kl_nats,n_passages,nv_recall_mean,nv_recall_max,lcs_word_mean,ge_0p01_pct
1,0.0,100,0.2296,0.4145,48.45,79.0
8,1.2044,100,0.3016,0.4145,62.03,92.0
64,3.1745,100,0.3379,0.4145,68.99,98.0
-1,,100,0.3925,0.8154,,78.0
