arm,budget_B,tau,constraint,K,n_traj,spend_median,spend_max,binds,active_steps_median,active_steps_max,active_share,forced_share,counters_agree_pct,invariant_violations,gain,gain_lo95,gain_hi95,d3_vs_selection
sparse_b2.08_t0,2.0794,,kl,2.0794002000000003,1500,2.0794,2.0794,YES,1.0,4,0.00564,0.5712,8.7,0,,,,
sparse_b4.16_t0,4.1589,,kl,4.1589002,600,4.1589,4.1589,YES,1.0,3,0.00557,0.6285,14.7,0,,,,
