prompt_id,novel,n_steps,k,spend_greedy,spend_dual,fidelity_greedy,fidelity_dual,fidelity_ceiling,gain_ratio,frac_of_ceiling_greedy,frac_of_ceiling_dual,theta_greedy_mean,theta_dual_mean,theta_greedy_at_one_pct,theta_dual_at_zero_pct,jeffreys_median,price_iqr_ratio,lam
bookmia.00.11,,380,0.5,122.829,122.829,529.5487,563.0085,814.7844,1.0632,0.6499,0.691,0.5778,0.1674,44.47,0.0,6.2927,2.589,1.166144
bookmia.00.26,,380,0.5,118.5087,118.5087,492.8248,523.1071,760.4856,1.0614,0.648,0.6879,0.599,0.1641,47.11,0.0,4.9914,2.28,1.149184
bookmia.00.31,,380,0.5,130.1852,130.1852,573.7512,607.5903,891.2139,1.059,0.6438,0.6818,0.5619,0.1697,42.37,0.0,7.519,1.917,1.203333
bookmia.00.40,,380,0.5,123.3823,123.3823,579.8762,619.93,908.8027,1.0691,0.6381,0.6821,0.578,0.1685,43.16,0.0,5.5747,2.615,1.27797
bookmia.00.46,,380,0.5,124.1232,124.1232,533.0009,564.2634,824.0383,1.0587,0.6468,0.6848,0.5792,0.1711,43.95,0.0,6.228,2.22,1.181734
bookmia.00.48,,380,0.5,118.6221,118.6221,522.3817,561.6218,814.2836,1.0751,0.6415,0.6897,0.6021,0.1635,47.11,0.0,5.0045,2.16,1.198881
bookmia.00.64,,380,0.5,116.64,116.64,514.4586,550.8624,806.0961,1.0708,0.6382,0.6834,0.6039,0.1614,47.89,0.0,5.4523,2.354,1.227731
bookmia.00.71,,380,0.5,127.8781,127.8781,570.5609,616.0854,902.3442,1.0798,0.6323,0.6828,0.567,0.1659,42.63,0.0,6.5039,2.484,1.262687
bookmia.01.00,,380,0.5,126.6416,126.6416,619.2625,661.0184,969.5331,1.0674,0.6387,0.6818,0.5723,0.1723,42.11,0.0,6.8629,2.407,1.309942
bookmia.01.01,,380,0.5,132.2104,132.2104,653.0609,702.7908,1036.3926,1.0761,0.6301,0.6781,0.5375,0.1737,38.68,0.0,8.681,2.298,1.363924
bookmia.01.02,,380,0.5,129.3627,129.3627,625.9415,665.6917,981.1071,1.0635,0.638,0.6785,0.5592,0.175,41.32,0.0,7.9352,2.242,1.303249
bookmia.01.03,,380,0.5,124.3532,124.3532,559.2648,591.6215,878.0486,1.0579,0.6369,0.6738,0.5663,0.1676,43.16,0.0,7.2782,2.08,1.257566
bookmia.01.04,,380,0.5,122.051,122.051,539.2448,572.5379,840.3619,1.0617,0.6417,0.6813,0.5821,0.1652,44.74,0.0,6.3685,2.256,1.214378
bookmia.01.07,,380,0.5,126.079,126.079,562.0793,599.9973,883.3907,1.0675,0.6363,0.6792,0.5667,0.1636,42.89,0.0,7.4333,2.288,1.245262
bookmia.01.10,,380,0.5,120.0205,120.0205,568.3631,605.9532,901.726,1.0661,0.6303,0.672,0.5796,0.1624,45.0,0.0,6.7626,2.235,1.326423
bookmia.01.11,,380,0.5,118.2423,118.2423,541.9208,582.5057,852.9594,1.0749,0.6353,0.6829,0.5942,0.155,47.11,0.0,5.8969,2.103,1.26367
bookmia.01.12,,380,0.5,135.006,135.006,608.5525,648.299,953.6314,1.0653,0.6381,0.6798,0.5244,0.172,37.11,0.0,8.1532,2.304,1.249953
bookmia.01.14,,380,0.5,129.6871,129.6871,626.691,666.9006,982.0493,1.0642,0.6381,0.6791,0.5653,0.1732,41.84,0.0,7.6781,2.217,1.306805
bookmia.01.20,,380,0.5,126.7727,126.7727,594.686,634.3475,936.0024,1.0667,0.6353,0.6777,0.573,0.171,43.42,0.0,6.6531,2.313,1.291477
bookmia.01.22,,380,0.5,132.223,132.223,620.3734,666.7888,977.8349,1.0748,0.6344,0.6819,0.5584,0.1733,41.32,0.0,7.0153,2.673,1.287969
bookmia.01.23,,380,0.5,132.1837,132.1837,595.7173,633.156,924.4921,1.0628,0.6444,0.6849,0.5331,0.1722,38.16,0.0,8.0879,2.194,1.221084
bookmia.01.26,,380,0.5,127.8736,127.8736,620.2682,669.4985,985.0553,1.0794,0.6297,0.6797,0.5643,0.1676,42.63,0.0,6.5731,2.688,1.330851
bookmia.01.27,,380,0.5,130.3737,130.3737,607.5695,647.7499,966.524,1.0661,0.6286,0.6702,0.5429,0.1689,40.0,0.0,8.1723,2.237,1.322384
bookmia.01.31,,380,0.5,129.1951,129.1951,624.239,663.5026,979.8297,1.0629,0.6371,0.6772,0.5392,0.1576,40.26,0.0,9.0023,2.414,1.309137
bookmia.01.32,,380,0.5,133.8306,133.8306,682.1722,725.9091,1072.3792,1.0641,0.6361,0.6769,0.5442,0.173,39.47,0.0,9.2311,2.334,1.364476
bookmia.01.33,,380,0.5,141.8979,141.8979,744.0182,793.7468,1186.2976,1.0668,0.6272,0.6691,0.4958,0.1794,33.16,0.0,10.8962,2.29,1.441307
bookmia.01.36,,380,0.5,130.0214,130.0214,610.652,655.2886,967.936,1.0731,0.6309,0.677,0.5465,0.1727,39.47,0.0,7.3183,2.46,1.316735
bookmia.01.37,,380,0.5,126.9917,126.9917,561.5624,603.0796,877.3571,1.0739,0.6401,0.6874,0.5574,0.1652,41.58,0.0,7.0967,2.486,1.216844
bookmia.01.39,,380,0.5,132.1275,132.1275,592.2615,630.2824,933.8638,1.0642,0.6342,0.6749,0.5363,0.169,39.21,0.0,7.66,2.146,1.26264
bookmia.01.41,,380,0.5,123.31,123.31,580.2515,628.0092,925.4797,1.0823,0.627,0.6786,0.5776,0.1611,44.21,0.0,6.9932,2.328,1.321489
