judge,selector,n,kl_nats,n_prompts,u,u_lo95,u_hi95,gain,gain_lo95,gain_hi95,mean_words,spearman_u_logn
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),1,0.0,500,0.427,0.391,0.46,0.0,0.0,0.0,89.0,0.9643
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),2,0.1931,500,0.457,0.425,0.491,0.03,-0.002,0.062,85.2,0.9643
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),4,0.6363,500,0.49,0.457,0.525,0.063,0.026,0.1,84.5,0.9643
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),8,1.2044,500,0.48,0.447,0.514,0.053,0.015,0.091,83.1,0.9643
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),16,1.8351,500,0.509,0.474,0.542,0.082,0.039,0.125,92.4,0.9643
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),32,2.497,500,0.556,0.521,0.593,0.129,0.085,0.173,100.1,0.9643
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),64,3.1745,500,0.566,0.532,0.601,0.139,0.102,0.183,108.8,0.9643
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),1,0.0,500,0.474,0.429,0.519,0.0,0.0,0.0,89.0,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),2,0.1931,500,0.533,0.491,0.579,0.059,0.031,0.09,85.2,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),4,0.6363,500,0.579,0.536,0.623,0.105,0.067,0.144,84.5,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),8,1.2044,500,0.605,0.563,0.648,0.131,0.09,0.174,83.1,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),16,1.8351,500,0.613,0.57,0.658,0.139,0.093,0.185,92.4,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),32,2.497,500,0.639,0.596,0.68,0.165,0.118,0.21,100.1,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),64,3.1745,500,0.659,0.617,0.7,0.185,0.135,0.233,108.8,1.0
