alpha,k,split,n_protected,n_ordinary,ordinary_split,price_nats,price_frac_ceiling,logp_target,logp_per_token,n_tokens,logp_target_risky,logp_target_safe
1.0,0.5,attack_train,25,25,factual,4621.613,0.6006,-8435.12,-1.2395,6805,-8.437,-21228.275
1.0,0.75,attack_train,25,25,factual,5393.518,0.7009,-6659.294,-0.9786,6805,-8.437,-21228.275
1.0,1.0,attack_train,25,25,factual,5938.496,0.7717,-5422.43,-0.7968,6805,-8.437,-21228.275
1.0,1.5,attack_train,25,25,factual,6641.45,0.863,-3793.242,-0.5574,6805,-8.437,-21228.275
1.0,2.0,attack_train,25,25,factual,7044.049,0.9154,-2764.523,-0.4062,6805,-8.437,-21228.275
1.0,2.5,attack_train,25,25,factual,7287.199,0.947,-2058.597,-0.3025,6805,-8.437,-21228.275
1.0,3.0,attack_train,25,25,factual,7437.278,0.9665,-1551.325,-0.228,6805,-8.437,-21228.275
1.0,4.0,attack_train,25,25,factual,7593.667,0.9868,-894.2,-0.1314,6805,-8.437,-21228.275
1.0,5.5,attack_train,25,25,factual,7671.649,0.9969,-388.39,-0.0571,6805,-8.437,-21228.275
1.0,7.5,attack_train,25,25,factual,7692.605,0.9996,-124.896,-0.0184,6805,-8.437,-21228.275
1.0,10.0,attack_train,25,25,factual,7695.283,1.0,-31.629,-0.0046,6805,-8.437,-21228.275
1.0,14.0,attack_train,25,25,factual,7695.394,1.0,-9.242,-0.0014,6805,-8.437,-21228.275
2.0,0.5,attack_train,25,25,factual,3692.577,0.4798,-11639.97,-1.7105,6805,-8.437,-21228.275
2.0,0.75,attack_train,25,25,factual,4425.343,0.5751,-10110.753,-1.4858,6805,-8.437,-21228.275
2.0,1.0,attack_train,25,25,factual,4981.552,0.6473,-8950.566,-1.3153,6805,-8.437,-21228.275
2.0,1.5,attack_train,25,25,factual,5778.814,0.7509,-7216.346,-1.0604,6805,-8.437,-21228.275
2.0,2.0,attack_train,25,25,factual,6311.58,0.8202,-5920.742,-0.8701,6805,-8.437,-21228.275
2.0,2.5,attack_train,25,25,factual,6685.671,0.8688,-4886.122,-0.718,6805,-8.437,-21228.275
2.0,3.0,attack_train,25,25,factual,6956.205,0.9039,-4033.512,-0.5927,6805,-8.437,-21228.275
2.0,4.0,attack_train,25,25,factual,7301.242,0.9488,-2720.608,-0.3998,6805,-8.437,-21228.275
2.0,5.5,attack_train,25,25,factual,7551.927,0.9814,-1428.204,-0.2099,6805,-8.437,-21228.275
2.0,7.5,attack_train,25,25,factual,7663.311,0.9958,-541.314,-0.0795,6805,-8.437,-21228.275
2.0,10.0,attack_train,25,25,factual,7690.728,0.9994,-138.239,-0.0203,6805,-8.437,-21228.275
2.0,14.0,attack_train,25,25,factual,7695.387,1.0,-14.45,-0.0021,6805,-8.437,-21228.275
4.0,0.5,attack_train,25,25,factual,2952.53,0.3837,-14212.004,-2.0885,6805,-8.437,-21228.275
4.0,0.75,attack_train,25,25,factual,3632.533,0.472,-12906.257,-1.8966,6805,-8.437,-21228.275
4.0,1.0,attack_train,25,25,factual,4179.454,0.5431,-11807.333,-1.7351,6805,-8.437,-21228.275
4.0,1.5,attack_train,25,25,factual,5027.991,0.6534,-9950.552,-1.4622,6805,-8.437,-21228.275
4.0,2.0,attack_train,25,25,factual,5652.429,0.7345,-8390.586,-1.233,6805,-8.437,-21228.275
4.0,2.5,attack_train,25,25,factual,6127.159,0.7962,-7048.171,-1.0357,6805,-8.437,-21228.275
4.0,3.0,attack_train,25,25,factual,6495.606,0.8441,-5887.047,-0.8651,6805,-8.437,-21228.275
4.0,4.0,attack_train,25,25,factual,7005.672,0.9104,-4024.281,-0.5914,6805,-8.437,-21228.275
4.0,5.5,attack_train,25,25,factual,7419.236,0.9641,-2129.085,-0.3129,6805,-8.437,-21228.275
4.0,7.5,attack_train,25,25,factual,7625.742,0.9909,-806.575,-0.1185,6805,-8.437,-21228.275
4.0,10.0,attack_train,25,25,factual,7683.846,0.9985,-203.067,-0.0298,6805,-8.437,-21228.275
4.0,14.0,attack_train,25,25,factual,7695.247,1.0,-17.456,-0.0026,6805,-8.437,-21228.275
8.0,0.5,attack_train,25,25,factual,2413.77,0.3137,-15995.859,-2.3506,6805,-8.437,-21228.275
8.0,0.75,attack_train,25,25,factual,3061.644,0.3979,-14749.637,-2.1675,6805,-8.437,-21228.275
8.0,1.0,attack_train,25,25,factual,3608.44,0.4689,-13607.169,-1.9996,6805,-8.437,-21228.275
8.0,1.5,attack_train,25,25,factual,4501.636,0.585,-11554.885,-1.698,6805,-8.437,-21228.275
8.0,2.0,attack_train,25,25,factual,5192.213,0.6747,-9770.154,-1.4357,6805,-8.437,-21228.275
8.0,2.5,attack_train,25,25,factual,5735.595,0.7453,-8215.898,-1.2073,6805,-8.437,-21228.275
8.0,3.0,attack_train,25,25,factual,6169.066,0.8017,-6865.429,-1.0089,6805,-8.437,-21228.275
8.0,4.0,attack_train,25,25,factual,6790.691,0.8824,-4694.393,-0.6898,6805,-8.437,-21228.275
8.0,5.5,attack_train,25,25,factual,7317.878,0.9509,-2483.283,-0.3649,6805,-8.437,-21228.275
8.0,7.5,attack_train,25,25,factual,7595.078,0.987,-939.715,-0.1381,6805,-8.437,-21228.275
8.0,10.0,attack_train,25,25,factual,7677.576,0.9977,-235.523,-0.0346,6805,-8.437,-21228.275
8.0,14.0,attack_train,25,25,factual,7695.076,1.0,-18.96,-0.0028,6805,-8.437,-21228.275
