k,n,feasible_pct,feasible_eta_pct,pred_frac_mean,paid_frac_mean,forced_open_mean,recall_mean,recall_ge_0p5_pct,recall_ge_0p8_pct
0.15,100,0,0,0.0,0.0773,12.82,,,
0.5,100,0,0,0.0,0.1432,5.91,,,
1,100,0,0,0.0,0.2273,3.91,,,
3,100,0,30.0,0.4844,0.8266,1.29,,,
5,100,61.0,80.0,0.9956,0.998,0.42,,,
10,100,96.0,99.0,0.9998,0.9999,0.04,,,
20,100,100,100,1.0,1.0,0,,,
