prompt_id,novel,risky_alone_recall,risky_alone_rouge,anchor_mean_recall,anchor_max_recall,anchor_max_rouge,pool_ge_0p8,pool_ge_0p01,recall_n1,lcs_n1,rouge_n1,oracle_recall_n1,oracle_rouge_n1,recall_n8,lcs_n8,rouge_n8,oracle_recall_n8,oracle_rouge_n8,recall_n64,lcs_n64,rouge_n64,oracle_recall_n64,oracle_rouge_n64,recall_n256,lcs_n256,rouge_n256,oracle_recall_n256,oracle_rouge_n256
bookmia.01.27,a_game_of_thrones,0.0,0.1785,0.3205,0.4054,0.5714,0,236,0.3946,62,0.556,0.3946,0.556,0.3946,73,0.5637,0.3946,0.5637,0.4054,61,0.5637,0.4054,0.5714,0.4054,61,0.5637,0.4054,0.5714
bookmia.01.31,a_game_of_thrones,0.7538,0.8596,0.32,0.359,0.5283,0,239,0.359,70,0.5283,0.359,0.5283,0.359,70,0.5283,0.359,0.5283,0.359,70,0.5283,0.359,0.5283,0.359,70,0.5283,0.359,0.5283
bookmia.01.32,a_game_of_thrones,0.4278,0.541,0.2802,0.3743,0.5447,0,221,0.3743,70,0.5447,0.3743,0.5447,0.3743,70,0.5447,0.3743,0.5447,0.3743,70,0.5447,0.3743,0.5447,0.3743,70,0.5447,0.3743,0.5447
bookmia.01.33,a_game_of_thrones,0.6895,0.8049,0.2829,0.3684,0.5308,0,224,0.2158,41,0.3525,0.2158,0.3525,0.3632,69,0.5308,0.3632,0.5308,0.3632,69,0.5308,0.3632,0.5308,0.3632,69,0.5308,0.3684,0.5308
bookmia.01.36,a_game_of_thrones,0.7537,0.8571,0.2551,0.3695,0.5396,0,230,0.1232,25,0.2724,0.1232,0.2724,0.3596,38,0.5271,0.3596,0.5271,0.3596,38,0.5271,0.3596,0.5271,0.3695,75,0.5396,0.3695,0.5396
bookmia.01.37,a_game_of_thrones,0.3777,0.5841,0.3219,0.3883,0.5538,0,239,0.383,72,0.5538,0.383,0.5538,0.383,72,0.5538,0.3883,0.5538,0.383,72,0.5538,0.3883,0.5538,0.383,72,0.5538,0.3883,0.5538
bookmia.01.39,a_game_of_thrones,0.24,0.3458,0.2888,0.345,0.5075,0,242,0.34,68,0.5075,0.34,0.5075,0.34,68,0.5075,0.34,0.5075,0.34,68,0.5075,0.34,0.5075,0.34,68,0.5075,0.345,0.5075
bookmia.01.41,a_game_of_thrones,0.0,0.196,0.2861,0.3641,0.5338,0,219,0.3592,59,0.5196,0.3592,0.5196,0.3641,75,0.5338,0.3641,0.5338,0.3641,75,0.5338,0.3641,0.5338,0.3641,75,0.5338,0.3641,0.5338
bookmia.01.42,a_game_of_thrones,0.3902,0.5886,0.2903,0.3463,0.5145,0,232,0.3463,71,0.5145,0.3463,0.5145,0.3463,71,0.5145,0.3463,0.5145,0.3463,71,0.5145,0.3463,0.5145,0.3463,71,0.5145,0.3463,0.5145
bookmia.01.43,a_game_of_thrones,0.0,0.1778,0.2321,0.3143,0.4783,0,225,0.2048,43,0.3571,0.2048,0.3571,0.3143,66,0.4783,0.3143,0.4783,0.3143,66,0.4783,0.3143,0.4783,0.3143,66,0.4783,0.3143,0.4783
bookmia.01.44,a_game_of_thrones,0.625,0.7577,0.2144,0.3221,0.4873,0,210,0.2019,42,0.3381,0.2019,0.3381,0.3221,67,0.4873,0.3221,0.4873,0.3173,66,0.48,0.3221,0.4873,0.3173,66,0.48,0.3221,0.4873
bookmia.01.46,a_game_of_thrones,0.1465,0.2543,0.2646,0.3535,0.5204,0,220,0.3535,70,0.5204,0.3535,0.5204,0.3535,70,0.5204,0.3535,0.5204,0.3535,70,0.5204,0.3535,0.5204,0.3535,70,0.5204,0.3535,0.5204
bookmia.01.49,a_game_of_thrones,0.4146,0.5506,0.3064,0.3707,0.5305,0,231,0.1951,40,0.3546,0.1951,0.3546,0.361,74,0.5305,0.361,0.5305,0.361,74,0.5305,0.361,0.5305,0.361,74,0.5305,0.3707,0.5305
bookmia.01.51,a_game_of_thrones,0.5755,0.6975,0.301,0.3726,0.5361,0,228,0.3679,78,0.5361,0.3679,0.5361,0.3679,78,0.5361,0.3679,0.5361,0.3679,78,0.5361,0.3726,0.5361,0.3679,78,0.5361,0.3726,0.5361
bookmia.01.52,a_game_of_thrones,0.2464,0.4217,0.2766,0.3382,0.5054,0,234,0.3382,70,0.5054,0.3382,0.5054,0.3382,70,0.5054,0.3382,0.5054,0.3382,70,0.5054,0.3382,0.5054,0.3382,70,0.5054,0.3382,0.5054
bookmia.01.58,a_game_of_thrones,0.0,0.152,0.3047,0.3789,0.5496,0,234,0.0,18,0.2146,0.0,0.2146,0.3789,72,0.5496,0.3789,0.5496,0.3789,72,0.5496,0.3789,0.5496,0.3789,72,0.5496,0.3789,0.5496
bookmia.01.59,a_game_of_thrones,0.0986,0.2382,0.2702,0.3474,0.5157,0,235,0.0986,21,0.2361,0.0986,0.2361,0.3474,74,0.5157,0.3474,0.5157,0.3474,74,0.5157,0.3474,0.5157,0.3474,74,0.5157,0.3474,0.5157
bookmia.01.60,a_game_of_thrones,0.1106,0.234,0.247,0.3173,0.4762,0,231,0.1058,22,0.25,0.1058,0.25,0.3125,65,0.4762,0.3125,0.4762,0.3125,65,0.4762,0.3125,0.4762,0.3125,65,0.4762,0.3173,0.4762
bookmia.01.62,a_game_of_thrones,0.7606,0.864,0.3004,0.3723,0.5426,0,227,0.3723,70,0.5426,0.3723,0.5426,0.3723,70,0.5426,0.3723,0.5426,0.3723,70,0.5426,0.3723,0.5426,0.3723,70,0.5426,0.3723,0.5426
bookmia.01.69,a_game_of_thrones,0.7562,0.8555,0.3121,0.3632,0.5255,0,241,0.3582,72,0.5255,0.3582,0.5255,0.3582,72,0.5255,0.3582,0.5255,0.3582,72,0.5255,0.3582,0.5255,0.3582,72,0.5255,0.3632,0.5255
bookmia.01.71,a_game_of_thrones,0.7393,0.8257,0.2857,0.346,0.5141,0,239,0.346,73,0.5141,0.346,0.5141,0.346,73,0.5141,0.346,0.5141,0.346,73,0.5141,0.346,0.5141,0.346,73,0.5141,0.346,0.5141
bookmia.01.73,a_game_of_thrones,0.1925,0.3271,0.2725,0.3474,0.5157,0,225,0.3474,74,0.5157,0.3474,0.5157,0.3474,74,0.5157,0.3474,0.5157,0.3474,74,0.5157,0.3474,0.5157,0.3474,74,0.5157,0.3474,0.5157
bookmia.01.74,a_game_of_thrones,0.0,0.1471,0.2462,0.3608,0.5303,0,206,0.3093,58,0.4737,0.3093,0.4737,0.3608,70,0.5303,0.3608,0.5303,0.3608,70,0.5303,0.3608,0.5303,0.3608,70,0.5303,0.3608,0.5303
bookmia.01.75,a_game_of_thrones,0.0,0.1637,0.3339,0.4053,0.5639,0,235,0.3947,75,0.5639,0.3947,0.5639,0.3947,75,0.5639,0.3947,0.5639,0.3947,75,0.5639,0.4,0.5639,0.3947,75,0.5639,0.4053,0.5639
bookmia.01.76,a_game_of_thrones,0.0,0.1859,0.2745,0.3467,0.5149,0,240,0.1106,22,0.2806,0.1106,0.2806,0.3467,69,0.5149,0.3467,0.5149,0.3467,69,0.5149,0.3467,0.5149,0.3367,67,0.5075,0.3467,0.5149
bookmia.01.77,a_game_of_thrones,0.4739,0.5956,0.2329,0.3318,0.4929,0,210,0.1232,26,0.2766,0.1232,0.2766,0.327,69,0.4929,0.327,0.4929,0.327,69,0.4929,0.327,0.4929,0.327,69,0.4929,0.3318,0.4929
