prompt_id,novel,risky_alone_recall,risky_alone_rouge,anchor_mean_recall,anchor_max_recall,anchor_max_rouge,pool_ge_0p8,pool_ge_0p01,recall_n1,lcs_n1,rouge_n1,oracle_recall_n1,oracle_rouge_n1
bookmia.01.71,a_game_of_thrones,0.7441,0.8356,0.0,0.0,0.0357,0,0,0.0,2,0.0357,0.0,0.0357
bookmia.01.73,a_game_of_thrones,0.5728,0.688,0.0,0.0,0.0922,0,0,0.0,2,0.0922,0.0,0.0922
bookmia.01.74,a_game_of_thrones,0.0,0.1313,0.0,0.0,0.0899,0,0,0.0,1,0.0899,0.0,0.0899
bookmia.01.75,a_game_of_thrones,0.1368,0.2063,0.0,0.0,0.1124,0,0,0.0,2,0.1124,0.0,0.1124
bookmia.01.76,a_game_of_thrones,0.1307,0.2507,0.0,0.0,0.0092,0,0,0.0,1,0.0092,0.0,0.0092
bookmia.01.77,a_game_of_thrones,0.1611,0.3224,0.0,0.0,0.1049,0,0,0.0,2,0.1049,0.0,0.1049
bookmia.01.78,a_game_of_thrones,0.768,0.8688,0.0,0.0,0.0536,0,0,0.0,2,0.0536,0.0,0.0536
bookmia.01.79,a_game_of_thrones,0.2982,0.445,0.0,0.0,0.034,0,0,0.0,2,0.034,0.0,0.034
bookmia.01.81,a_game_of_thrones,0.6765,0.7901,0.0,0.0,0.1504,0,0,0.0,2,0.1504,0.0,0.1504
bookmia.01.82,a_game_of_thrones,0.7799,0.8763,0.0,0.0,0.0622,0,0,0.0,2,0.0622,0.0,0.0622
bookmia.01.83,a_game_of_thrones,0.1542,0.3008,0.0,0.0,0.1235,0,0,0.0,2,0.1235,0.0,0.1235
bookmia.01.87,a_game_of_thrones,0.2991,0.4321,0.0,0.0,0.0882,0,0,0.0,1,0.0882,0.0,0.0882
bookmia.01.88,a_game_of_thrones,0.3949,0.5187,0.0,0.0,0.0855,0,0,0.0,2,0.0855,0.0,0.0855
bookmia.01.89,a_game_of_thrones,0.7317,0.8451,0.0,0.0,0.0459,0,0,0.0,2,0.0459,0.0,0.0459
bookmia.01.90,a_game_of_thrones,0.8031,0.8825,0.0,0.0,0.0929,0,0,0.0,2,0.0929,0.0,0.0929
bookmia.01.97,a_game_of_thrones,0.0,0.1543,0.0,0.0,0.1053,0,0,0.0,2,0.1053,0.0,0.1053
bookmia.07.02,casino_royale,0.8177,0.8997,0.0,0.0,0.0643,0,0,0.0,2,0.0643,0.0,0.0643
bookmia.07.03,casino_royale,0.0948,0.3149,0.0,0.0,0.0667,0,0,0.0,1,0.0667,0.0,0.0667
bookmia.07.04,casino_royale,0.1132,0.2453,0.0,0.0,0.0091,0,0,0.0,1,0.0091,0.0,0.0091
bookmia.07.05,casino_royale,0.7368,0.8462,0.0,0.0,0.0896,0,0,0.0,1,0.0896,0.0,0.0896
bookmia.07.06,casino_royale,0.8154,0.8983,0.0,0.0,0.1083,0,0,0.0,2,0.1083,0.0,0.1083
bookmia.07.07,casino_royale,0.1435,0.3069,0.0,0.0,0.0571,0,0,0.0,2,0.0571,0.0,0.0571
bookmia.07.08,casino_royale,0.0,0.1809,0.0,0.0,0.0186,0,0,0.0,1,0.0186,0.0,0.0186
bookmia.07.09,casino_royale,0.7799,0.8763,0.0,0.0,0.0916,0,0,0.0,2,0.0916,0.0,0.0916
bookmia.07.15,casino_royale,0.1215,0.2177,0.0,0.0,0.1158,0,0,0.0,2,0.1158,0.0,0.1158
bookmia.07.16,casino_royale,0.7581,0.8325,0.0,0.0,0.1039,0,0,0.0,3,0.1039,0.0,0.1039
bookmia.07.17,casino_royale,0.203,0.3342,0.0,0.0,0.0937,0,0,0.0,1,0.0937,0.0,0.0937
bookmia.07.20,casino_royale,0.0939,0.2356,0.0,0.0,0.1069,0,0,0.0,2,0.1069,0.0,0.1069
bookmia.07.24,casino_royale,0.2902,0.4057,0.0,0.0,0.1024,0,0,0.0,2,0.1024,0.0,0.1024
bookmia.07.25,casino_royale,0.6916,0.8333,0.0,0.0,0.0596,0,0,0.0,1,0.0596,0.0,0.0596
bookmia.07.26,casino_royale,0.2009,0.384,0.0,0.0,0.0906,0,0,0.0,2,0.0906,0.0,0.0906
bookmia.07.28,casino_royale,0.386,0.5802,0.0,0.0,0.0606,0,0,0.0,3,0.0606,0.0,0.0606
bookmia.07.29,casino_royale,0.1866,0.336,0.0,0.0,0.0274,0,0,0.0,1,0.0274,0.0,0.0274
bookmia.07.30,casino_royale,0.7475,0.8152,0.0,0.0,0.1062,0,0,0.0,2,0.1062,0.0,0.1062
bookmia.07.31,casino_royale,0.7573,0.8595,0.0,0.0,0.1224,0,0,0.0,2,0.1224,0.0,0.1224
bookmia.07.32,casino_royale,0.7692,0.8696,0.0,0.0,0.0356,0,0,0.0,2,0.0356,0.0,0.0356
bookmia.07.37,casino_royale,0.5943,0.7027,0.0,0.0,0.0735,0,0,0.0,2,0.0735,0.0,0.0735
bookmia.07.40,casino_royale,0.7835,0.8786,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0
bookmia.07.41,casino_royale,0.1019,0.2581,0.0,0.0,0.1448,0,0,0.0,2,0.1448,0.0,0.1448
bookmia.07.43,casino_royale,0.7196,0.815,0.0,0.0,0.121,0,0,0.0,2,0.121,0.0,0.121
bookmia.07.44,casino_royale,0.281,0.4199,0.0,0.0,0.1149,0,0,0.0,2,0.1149,0.0,0.1149
bookmia.07.47,casino_royale,0.4569,0.5764,0.0,0.0,0.1162,0,0,0.0,2,0.1162,0.0,0.1162
bookmia.07.49,casino_royale,0.0,0.2016,0.0,0.0,0.1453,0,0,0.0,2,0.1453,0.0,0.1453
bookmia.07.53,casino_royale,0.7547,0.8495,0.0,0.0,0.0703,0,0,0.0,2,0.0703,0.0,0.0703
bookmia.07.54,casino_royale,0.0,0.2448,0.0,0.0,0.0329,0,0,0.0,2,0.0329,0.0,0.0329
bookmia.07.55,casino_royale,0.7157,0.7507,0.0,0.0,0.1111,0,0,0.0,2,0.1111,0.0,0.1111
bookmia.07.56,casino_royale,0.801,0.8895,0.0,0.0,0.1173,0,0,0.0,2,0.1173,0.0,0.1173
bookmia.07.57,casino_royale,0.0,0.16,0.0,0.0,0.0763,0,0,0.0,1,0.0763,0.0,0.0763
bookmia.07.59,casino_royale,0.3122,0.4513,0.0,0.0,0.1308,0,0,0.0,2,0.1308,0.0,0.1308
bookmia.07.61,casino_royale,0.0,0.1808,0.0,0.0,0.0749,0,0,0.0,2,0.0749,0.0,0.0749
bookmia.07.62,casino_royale,0.4238,0.5341,0.0,0.0,0.0681,0,0,0.0,3,0.0681,0.0,0.0681
bookmia.07.63,casino_royale,0.8182,0.8889,0.0,0.0,0.0099,0,0,0.0,1,0.0099,0.0,0.0099
bookmia.07.66,casino_royale,0.0,0.2211,0.0,0.0,0.0332,0,0,0.0,1,0.0332,0.0,0.0332
bookmia.07.70,casino_royale,0.2245,0.3258,0.0,0.0,0.0472,0,0,0.0,2,0.0472,0.0,0.0472
bookmia.07.72,casino_royale,0.6939,0.7931,0.0,0.0,0.0563,0,0,0.0,2,0.0563,0.0,0.0563
bookmia.07.73,casino_royale,0.7913,0.8726,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0
bookmia.07.77,casino_royale,0.5777,0.7541,0.0,0.0,0.0365,0,0,0.0,1,0.0365,0.0,0.0365
bookmia.07.80,casino_royale,0.5561,0.6243,0.0,0.0,0.1077,0,0,0.0,3,0.1077,0.0,0.1077
