anchor,name,warrant,gain8,gain64,gain_diff,lo95,hi95,n_prompts,reproduction,verdict,overall
Pleias-1.2B,pleias12b,REDUCED,0.083,0.119,0.036,-0.004,0.074,500,WAIVED -- batch 8 vs 32,SATURATED BY 8,PARTIAL
KL3M-1.7B,kl3m17b,REDUCED,0.023,0.088,0.065,0.027,0.103,500,WAIVED -- batch 8 vs 32,CLIMBS,PARTIAL
Pleias-3B,pleias3b,FULL,0.025,0.028,0.003,-0.038,0.046,500,PASS,SATURATED BY 8,PARTIAL
