judge,selector,n,kl_nats,n_prompts,u,u_lo95,u_hi95,gain,gain_lo95,gain_hi95,mean_words,spearman_u_logn
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),1,0.0,500,0.266,0.236,0.298,0.0,0.0,0.0,71.9,0.9009
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),2,0.1931,500,0.285,0.253,0.316,0.019,-0.008,0.045,72.8,0.9009
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),4,0.6363,500,0.279,0.248,0.311,0.013,-0.02,0.046,72.5,0.9009
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),8,1.2044,500,0.285,0.255,0.316,0.019,-0.015,0.055,72.0,0.9009
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),16,1.8351,500,0.294,0.263,0.325,0.028,-0.007,0.063,72.6,0.9009
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),32,2.497,500,0.306,0.275,0.336,0.04,0.003,0.077,70.8,0.9009
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),64,3.1745,500,0.298,0.269,0.331,0.032,-0.005,0.072,66.8,0.9009
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),1,0.0,500,0.192,0.156,0.226,0.0,0.0,0.0,71.9,0.0357
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),2,0.1931,500,0.202,0.168,0.238,0.01,-0.016,0.036,72.8,0.0357
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),4,0.6363,500,0.18,0.148,0.212,-0.012,-0.042,0.018,72.5,0.0357
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),8,1.2044,500,0.186,0.152,0.222,-0.006,-0.042,0.026,72.0,0.0357
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),16,1.8351,500,0.21,0.174,0.246,0.018,-0.016,0.053,72.6,0.0357
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),32,2.497,500,0.181,0.148,0.215,-0.011,-0.048,0.025,70.8,0.0357
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),64,3.1745,500,0.197,0.164,0.233,0.005,-0.035,0.044,66.8,0.0357
