n,kl_nats,n_passages,nv_recall_mean,nv_recall_max,lcs_word_mean,rouge_l_mean,rouge_ge_0p3_pct,rouge_ge_0p5_pct,ge_0p01_pct
1,0.0,100,0.4473,0.7621,80.62,0.5923,81.0,65.0,87.0
8,1.2044,100,0.6202,0.8,110.13,0.7497,94.0,92.0,96.0
64,3.1745,100,0.6457,0.8,119.98,0.7724,95.0,94.0,95.0
256,4.5491,100,0.663,0.8031,126.07,0.7896,97.0,97.0,97.0
-1,,100,0.4209,0.8307,,0.5533,75.0,55.0,81.0
