k,n,feasible_pct,feasible_eta_pct,pred_frac_mean,paid_frac_mean,forced_open_mean,recall_mean,recall_ge_0p5_pct,recall_ge_0p8_pct
0.15,100,0,0,0.0,0.3394,2.12,,,
0.5,100,0,0,0.0,0.4568,1,,,
1,100,0,0,0.0006,0.5648,0.61,,,
3,100,35.0,66.0,0.9864,0.9952,0.35,,,
5,100,81.0,90.0,0.999,0.9993,0.21,,,
10,100,96.0,99.0,0.9999,0.9999,0.03,,,
20,100,100,100,1.0,1.0,0,,,
