k,mode,L,recall_uncapped,spend_uncapped_nats,c_rec_nats_per_recovered_token,protective_ratio,budget_needed,B_star_nats,B_star_reader_completions
3.0,chained,20,0.0014,370.7,991.44,1209.62,0,,
3.0,chained,50,0.0061,527.8,333.29,406.63,0,,
3.0,oracle,20,0.0009,467.7,1912.82,2333.76,0,,
3.0,oracle,50,0.0965,600.9,23.91,29.18,0,,
3.0,single,0,0.0116,576.9,190.95,232.97,0,,
5.0,chained,20,0.0031,451.6,551.64,673.03,0,,
5.0,chained,50,0.0335,568.8,65.13,79.46,0,,
5.0,oracle,20,0.0275,577.1,80.52,98.25,0,,
5.0,oracle,50,0.2301,668.4,11.15,13.61,1,200,1.22
5.0,single,0,0.0925,619.7,25.71,31.37,0,,
10.0,chained,20,0.0264,513.0,74.75,91.19,0,,
10.0,chained,50,0.1108,619.0,21.45,26.17,1,400,2.44
10.0,oracle,20,0.189,690.8,14.03,17.12,1,400,2.44
10.0,oracle,50,0.4103,750.2,7.02,8.57,1,200,1.22
10.0,single,0,0.2005,659.4,12.63,15.41,1,800,4.88
20.0,chained,20,0.4408,655.6,5.71,6.97,1,100,0.61
20.0,chained,50,0.505,766.5,5.83,7.11,1,100,0.61
20.0,oracle,20,0.8579,835.0,3.74,4.56,1,100,0.61
20.0,oracle,50,0.7865,866.2,4.23,5.16,1,100,0.61
20.0,single,0,0.4759,760.7,6.14,7.49,1,400,2.44
