quantity,value,lo95,hi95,n,note
"G_A  Comma-7B alone, over TinyComma alone",0.015,-0.0065,0.0365,500,"the larger safe model, n=1"
"G_B  TinyComma n=64, over the same control",0.1045,0.082,0.128,500,"on record, results/order_averaged_h2h.csv"
"Comma-7B n=64, over TinyComma alone",0.1755,0.1505,0.201,500,context: selection ON the bigger anchor
verdict,SELECTION EARNS ITS PRICE,,,500,BUY THE BIGGER ANCHOR if G_A >= G_B or its interval reaches G_B
