prompt_class,k,n_steps,unconstrained_mean_nats,unconstrained_median_nats,unaltered_fraction,paid_per_unaltered_step,selection_only_prediction,price_gap_vs_unconstrained,selection_ratio
neutral,0.5,84679,4.062347478360582,0.8301990032196045,0.3317351409440357,0.3958935077744654,0.09338525629652877,10.261212671046984,4.239357725992354
neutral,1.0,84904,4.062347478360582,0.8301990032196045,0.8097380570997833,0.8095000680981981,0.8023411587425996,5.018341119976028,1.0089225253841119
factual,0.5,58185,9.682298798247754,1.3631519079208374,0.2842828907794105,0.3963013836294337,0.11789968257882098,24.43165529621593,3.3613439405529295
factual,1.0,51326,9.682298798247754,1.3631519079208374,0.8041538401589837,0.8020639968152345,5.067474214044708,12.071728486371882,0.15827687777715416
creative,0.5,54784,8.29956644390451,1.7425370812416077,0.2279497663551402,0.40644721260645356,0.1526048131431436,20.41978930223504,2.6633970727070406
creative,1.0,52636,8.29956644390451,1.7425370812416077,0.7320655064974542,0.8357802532123066,1.5424545290767449,9.930321291996638,0.5418508211795217
attack_train,0.5,49145,11.19679838425085,2.350863218307495,0.23021670566690405,0.35651288747342663,0.1369730854600965,31.40643375784115,2.6027951861921608
attack_train,1.0,43281,11.19679838425085,2.350863218307495,0.7180749058478316,0.7013730236420891,4.480629634880488,15.964113256178754,0.15653447858802924
test,0.5,73127,10.787360487645246,2.2119919061660767,0.23776443721197368,0.3364318599607757,0.10353998486112435,32.06402773180559,3.249294081045342
test,1.0,61120,10.787360487645246,2.2119919061660767,0.7448134816753926,0.7173560386219544,4.7647461611171,15.03766596621649,0.15055493291037556
val,0.5,73030,9.234284817041116,1.4978038668632507,0.280309461864987,0.3232405998797204,0.1385864428754645,28.567837148171495,2.3324114045569986
val,1.0,61552,9.234284817041116,1.4978038668632507,0.7643293475435404,0.6828598783784114,3.3840453761766334,13.522957065466768,0.2017880384186577
