anchor,event,threshold,n,n_passages,rate,rate_se,base_rate,base_rate_se,bound_n_times_base,amplification,prop4_holds,mean_recall,risky_alone_mean_recall
kl3m520m,E_08,0.8,1,100,0.0,0.0,0.0,0.0,0.0,,yes,0.2624,0.3925
kl3m520m,E_08,0.8,8,100,0.0,0.0,0.0,0.0,0.0,,yes,0.3465,0.3925
kl3m520m,E_08,0.8,64,100,0.0,0.0,0.0,0.0,0.0,,yes,0.3492,0.3925
kl3m520m,E_001,0.01,1,100,0.82,0.0384,0.82,0.0384,0.82,1.0,yes,0.2624,0.3925
kl3m520m,E_001,0.01,8,100,0.99,0.0099,0.82,0.0384,1.0,1.2073,yes,0.3465,0.3925
kl3m520m,E_001,0.01,64,100,1.0,0.0,0.82,0.0384,1.0,1.2195,yes,0.3492,0.3925
llama32_1b,E_08,0.8,1,100,0.02,0.014,0.02,0.014,0.02,1.0,yes,0.3809,0.3925
llama32_1b,E_08,0.8,8,100,0.04,0.0196,0.02,0.014,0.16,2.0,yes,0.5668,0.3925
llama32_1b,E_08,0.8,64,100,0.08,0.0271,0.02,0.014,1.0,4.0,yes,0.6854,0.3925
llama32_1b,E_001,0.01,1,100,0.81,0.0392,0.81,0.0392,0.81,1.0,yes,0.3809,0.3925
llama32_1b,E_001,0.01,8,100,0.93,0.0255,0.81,0.0392,1.0,1.1481,yes,0.5668,0.3925
llama32_1b,E_001,0.01,64,100,0.97,0.0171,0.81,0.0392,1.0,1.1975,yes,0.6854,0.3925
llama32_3b,E_08,0.8,1,100,0.03,0.0171,0.03,0.0171,0.03,1.0,yes,0.3901,0.3925
llama32_3b,E_08,0.8,8,100,0.09,0.0286,0.03,0.0171,0.24,3.0,yes,0.6223,0.3925
llama32_3b,E_08,0.8,64,100,0.11,0.0313,0.03,0.0171,1.0,3.6667,yes,0.672,0.3925
llama32_3b,E_001,0.01,1,100,0.86,0.0347,0.86,0.0347,0.86,1.0,yes,0.3901,0.3925
llama32_3b,E_001,0.01,8,100,0.99,0.0099,0.86,0.0347,1.0,1.1512,yes,0.6223,0.3925
llama32_3b,E_001,0.01,64,100,0.96,0.0196,0.86,0.0347,1.0,1.1163,yes,0.672,0.3925
opencalm1b,E_08,0.8,1,100,0.0,0.0,0.0,0.0,0.0,,yes,0.1685,0.3925
opencalm1b,E_08,0.8,8,100,0.0,0.0,0.0,0.0,0.0,,yes,0.3365,0.3925
opencalm1b,E_08,0.8,64,100,0.0,0.0,0.0,0.0,0.0,,yes,0.4333,0.3925
opencalm1b,E_001,0.01,1,100,0.57,0.0495,0.57,0.0495,0.57,1.0,yes,0.1685,0.3925
opencalm1b,E_001,0.01,8,100,0.88,0.0325,0.57,0.0495,1.0,1.5439,yes,0.3365,0.3925
opencalm1b,E_001,0.01,64,100,0.99,0.0099,0.57,0.0495,1.0,1.7368,yes,0.4333,0.3925
opencalm3b,E_08,0.8,1,100,0.0,0.0,0.0,0.0,0.0,,yes,0.4611,0.3925
opencalm3b,E_08,0.8,8,100,0.0,0.0,0.0,0.0,0.0,,yes,0.4994,0.3925
opencalm3b,E_08,0.8,64,100,0.0,0.0,0.0,0.0,0.0,,yes,0.4995,0.3925
opencalm3b,E_001,0.01,1,100,0.97,0.0171,0.97,0.0171,0.97,1.0,yes,0.4611,0.3925
opencalm3b,E_001,0.01,8,100,1.0,0.0,0.97,0.0171,1.0,1.0309,yes,0.4994,0.3925
opencalm3b,E_001,0.01,64,100,1.0,0.0,0.97,0.0171,1.0,1.0309,yes,0.4995,0.3925
phi35mini,E_08,0.8,1,100,0.0,0.0,0.0,0.0,0.0,,yes,0.4799,0.3925
phi35mini,E_08,0.8,8,100,0.01,0.0099,0.0,0.0,0.0,,NO,0.6307,0.3925
phi35mini,E_08,0.8,64,100,0.01,0.0099,0.0,0.0,0.0,,NO,0.6679,0.3925
phi35mini,E_001,0.01,1,100,0.85,0.0357,0.85,0.0357,0.85,1.0,yes,0.4799,0.3925
phi35mini,E_001,0.01,8,100,0.97,0.0171,0.85,0.0357,1.0,1.1412,yes,0.6307,0.3925
phi35mini,E_001,0.01,64,100,0.99,0.0099,0.85,0.0357,1.0,1.1647,yes,0.6679,0.3925
pleias12b,E_08,0.8,1,100,0.05,0.0218,0.05,0.0218,0.05,1.0,yes,0.6853,0.3925
pleias12b,E_08,0.8,8,100,0.05,0.0218,0.05,0.0218,0.4,1.0,yes,0.7263,0.3925
pleias12b,E_08,0.8,64,100,0.05,0.0218,0.05,0.0218,1.0,1.0,yes,0.7303,0.3925
pleias12b,E_001,0.01,1,100,0.98,0.014,0.98,0.014,0.98,1.0,yes,0.6853,0.3925
pleias12b,E_001,0.01,8,100,0.99,0.0099,0.98,0.014,1.0,1.0102,yes,0.7263,0.3925
pleias12b,E_001,0.01,64,100,0.99,0.0099,0.98,0.014,1.0,1.0102,yes,0.7303,0.3925
pleias350m,E_08,0.8,1,100,0.03,0.0171,0.03,0.0171,0.03,1.0,yes,0.6615,0.3925
pleias350m,E_08,0.8,8,100,0.05,0.0218,0.03,0.0171,0.24,1.6667,yes,0.7172,0.3925
pleias350m,E_08,0.8,64,100,0.04,0.0196,0.03,0.0171,1.0,1.3333,yes,0.727,0.3925
pleias350m,E_001,0.01,1,100,0.98,0.014,0.98,0.014,0.98,1.0,yes,0.6615,0.3925
pleias350m,E_001,0.01,8,100,0.99,0.0099,0.98,0.014,1.0,1.0102,yes,0.7172,0.3925
pleias350m,E_001,0.01,64,100,0.99,0.0099,0.98,0.014,1.0,1.0102,yes,0.727,0.3925
qwen25_7b,E_08,0.8,1,100,0.1,0.03,0.1,0.03,0.1,1.0,yes,0.5643,0.3925
qwen25_7b,E_08,0.8,8,100,0.13,0.0336,0.1,0.03,0.8,1.3,yes,0.6937,0.3925
qwen25_7b,E_08,0.8,64,100,0.15,0.0357,0.1,0.03,1.0,1.5,yes,0.7065,0.3925
qwen25_7b,E_001,0.01,1,100,0.93,0.0255,0.93,0.0255,0.93,1.0,yes,0.5643,0.3925
qwen25_7b,E_001,0.01,8,100,0.97,0.0171,0.93,0.0255,1.0,1.043,yes,0.6937,0.3925
qwen25_7b,E_001,0.01,64,100,0.98,0.014,0.93,0.0255,1.0,1.0538,yes,0.7065,0.3925
