n,kl_nats,n_passages,nv_recall_mean,nv_recall_max,lcs_word_mean,rouge_l_mean,rouge_ge_0p3_pct,rouge_ge_0p5_pct,ge_0p01_pct
1,0.0,100,0.3518,0.801,57.83,0.491,69.0,46.0,80.0
8,1.2044,100,0.5397,0.8182,83.97,0.6618,90.0,75.0,94.0
64,3.1745,100,0.6806,0.8246,106.9,0.7881,97.0,95.0,99.0
256,4.5491,100,0.6957,0.8246,116.93,0.7972,95.0,93.0,97.0
-1,,100,0.3925,0.8154,,0.5195,71.0,47.0,78.0
