prompt_id,novel,risky_alone_recall,anchor_mean_recall,anchor_max_recall,recall_n1,lcs_n1,recall_n8,lcs_n8,recall_n64,lcs_n64
bookmia.00.11,1984,0.802,0.1992,0.3861,0.2871,58,0.3861,78,0.3861,78
bookmia.00.26,1984,0.7014,0.2602,0.3602,0.3602,76,0.3602,76,0.3412,72
bookmia.00.31,1984,0.0,0.3132,0.3789,0.2105,40,0.3789,72,0.3789,72
bookmia.00.40,1984,0.2892,0.1915,0.3725,0.2353,48,0.2353,48,0.3725,76
bookmia.00.46,1984,0.0,0.235,0.3505,0.0,16,0.3505,75,0.3505,75
bookmia.00.48,1984,0.77,0.0054,0.3474,0.0,1,0.0,2,0.0,2
bookmia.00.64,1984,0.0,0.2598,0.3594,0.2442,53,0.3548,77,0.3548,69
bookmia.00.71,1984,0.3897,0.1754,0.3474,0.0,17,0.3474,74,0.2958,63
bookmia.01.00,a_game_of_thrones,0.0,0.2681,0.3427,0.3427,73,0.3427,73,0.3427,73
bookmia.01.01,a_game_of_thrones,0.2488,0.2266,0.3088,0.1521,33,0.3088,67,0.2581,56
bookmia.01.02,a_game_of_thrones,0.7424,0.2414,0.3535,0.0,19,0.3535,70,0.3283,65
bookmia.01.03,a_game_of_thrones,0.2778,0.2857,0.3586,0.3535,70,0.3535,70,0.3586,71
bookmia.01.04,a_game_of_thrones,0.2754,0.3227,0.3623,0.3623,75,0.3623,75,0.3333,69
bookmia.01.07,a_game_of_thrones,0.5352,0.2029,0.3286,0.3286,70,0.3286,70,0.3286,70
bookmia.01.10,a_game_of_thrones,0.0,0.2787,0.3663,0.1931,39,0.3663,74,0.3663,74
bookmia.01.11,a_game_of_thrones,0.7642,0.3221,0.3726,0.3726,79,0.3726,79,0.3726,79
bookmia.01.12,a_game_of_thrones,0.1033,0.2738,0.3709,0.3568,76,0.3568,76,0.3662,78
bookmia.01.14,a_game_of_thrones,0.7487,0.1985,0.3618,0.3618,72,0.3467,69,0.3467,69
bookmia.01.20,a_game_of_thrones,0.1281,0.158,0.33,0.0,6,0.33,67,0.2759,56
bookmia.01.22,a_game_of_thrones,0.6965,0.2229,0.3433,0.209,42,0.3433,69,0.3433,69
bookmia.01.23,a_game_of_thrones,0.2663,0.2679,0.3587,0.0,11,0.3533,65,0.337,62
bookmia.01.26,a_game_of_thrones,0.285,0.2255,0.35,0.0,8,0.35,70,0.35,70
bookmia.01.27,a_game_of_thrones,0.6649,0.3043,0.3946,0.2919,54,0.3946,73,0.3892,72
bookmia.01.31,a_game_of_thrones,0.2359,0.2543,0.359,0.3026,59,0.359,70,0.3333,65
bookmia.01.32,a_game_of_thrones,0.0,0.2017,0.3743,0.2139,40,0.3743,70,0.3743,70
bookmia.01.33,a_game_of_thrones,0.7158,0.2656,0.3632,0.0,11,0.3632,69,0.3632,69
bookmia.01.36,a_game_of_thrones,0.6946,0.3242,0.3695,0.1182,21,0.3695,75,0.3695,75
bookmia.01.37,a_game_of_thrones,0.6649,0.321,0.383,0.383,72,0.383,72,0.383,72
bookmia.01.39,a_game_of_thrones,0.24,0.2227,0.34,0.34,68,0.34,68,0.315,63
bookmia.01.41,a_game_of_thrones,0.0,0.2955,0.3641,0.3641,75,0.3495,72,0.3641,75
bookmia.01.42,a_game_of_thrones,0.0,0.291,0.3463,0.2927,60,0.3463,71,0.2927,60
bookmia.01.43,a_game_of_thrones,0.0,0.1722,0.3143,0.0,5,0.3143,66,0.2857,60
bookmia.01.44,a_game_of_thrones,0.1923,0.2038,0.3221,0.0,2,0.3221,67,0.2885,60
bookmia.01.46,a_game_of_thrones,0.1465,0.254,0.3535,0.3535,70,0.3535,70,0.3535,70
bookmia.01.49,a_game_of_thrones,0.3366,0.3049,0.361,0.361,74,0.361,74,0.361,69
