model,id,split,novel,n_tok,n_char,total_nats,s_rate,k_crit,uncertified_width,nats_per_tok
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.00.11,attack_train,1984,57,225,131.95352869923227,0.5864601275521434,6.907685279846191,11.778610267467867,2.3149741877058294
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.00.26,attack_train,1984,57,273,176.00464893132448,0.6447056737411153,2.5907320022583007,4.018472471670261,3.087800858444289
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.00.31,attack_train,1984,57,252,174.90281285345554,0.6940587811645061,3.1770002841949463,4.577422504279118,3.0684704009378168
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.00.40,attack_train,1984,59,290,178.45183833455667,0.6153511666708851,3.6832916736602783,5.985674315996305,3.0246074293992655
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.00.46,attack_train,1984,59,312,198.52387940417975,0.6362944852698069,8.776728630065918,13.793501017605607,3.3648115153250804
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.00.48,attack_train,1984,66,264,198.7580888736993,0.7528715487640125,5.776664733886719,7.6728423904054495,3.01148619505605
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.00.64,attack_train,1984,60,273,175.3566252971068,0.642331960795263,2.90944242477417,4.5294997016371825,2.9226104216184465
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.00.71,attack_train,1984,62,271,184.08317272737622,0.6792737001010193,2.3607707023620605,3.47543369044168,2.9690834310867134
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.01.00,attack_train,a_game_of_thrones,60,255,145.0146937952668,0.5686850737069286,4.99556318918864,8.784410599394596,2.4169115632544464
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.01.01,attack_train,a_game_of_thrones,63,276,184.3757537577767,0.6680280933252779,1.0781052348332758,1.6138621198799226,2.9265992659964555
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.01.02,attack_train,a_game_of_thrones,62,238,257.4719102438539,1.081814748923756,7.005788803100586,6.475959779685292,4.152772745868612
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.01.03,attack_train,a_game_of_thrones,61,237,210.87983867526054,0.8897883488407617,5.082722028096517,5.712282066536848,3.457046535660009
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.01.04,attack_train,a_game_of_thrones,67,232,206.24840322008822,0.8890017380176216,1.5914786031778045,1.7901861550086853,3.0783343764192272
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.01.07,attack_train,a_game_of_thrones,58,268,235.8890701532364,0.880183097586703,6.696311950683594,7.607862465257087,4.067052933676489
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.01.10,attack_train,a_game_of_thrones,71,270,257.2159134635003,0.9526515313462975,16.785259246826172,17.61951636513412,3.622759344556343
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.01.11,attack_train,a_game_of_thrones,66,261,202.27352936993702,0.7749943654020576,3.924257278442383,5.063594593241366,3.0647504449990457
