band,k,d3,lo95,hi95,verdict,h2h_reading
B1 binding,0.9,0.099,0.0795,0.1185,WITH OURS,REVERSAL CONFIRMED
B2 vacuous,10.0,0.095,0.078,0.112,WITH OURS,REVERSAL CONFIRMED
