prompt_id,novel,risky_alone_recall,risky_alone_R,min_R,median_R,anchor_recall,accepted_C4.1589,recall_C4.1589,accepted_C33.271,recall_C33.271,accepted_C83.178,recall_C83.178,accepted_C159.83,recall_C159.83,accepted_C250,recall_C250,accepted_C400,recall_C400,accepted_C600,recall_C600,accepted_C800,recall_C800
bookmia.01.04,a_game_of_thrones,0.2754,758.74,608.37,728.8,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0,0.2754
bookmia.01.07,a_game_of_thrones,0.554,824.51,571.63,842.77,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,38,0.1033,1,0.2113
bookmia.01.10,a_game_of_thrones,0.3168,720.31,486.19,730.54,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,18,0.0,0,0.3168
bookmia.01.11,a_game_of_thrones,1.0,817.91,558.91,808.3,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,8,0.0,2,0.0
bookmia.01.12,a_game_of_thrones,0.0,551.63,497.8,623.89,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0,0.0,0,0.0
bookmia.01.14,a_game_of_thrones,0.5829,847.02,625.2,919.2,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,42,0.0
bookmia.01.20,a_game_of_thrones,0.3842,810.24,557.44,716.51,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,18,0.0,1,0.0
bookmia.01.22,a_game_of_thrones,0.8507,918.83,588.67,755.37,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,41,0.0,1,0.4776
bookmia.01.23,a_game_of_thrones,0.5652,788.36,417.55,690.91,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,5,0.0,0,0.5652
bookmia.01.26,a_game_of_thrones,0.0,682.33,544.56,734.61,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,5,0.0,0,0.0
bookmia.01.27,a_game_of_thrones,1.0,890.3,622.92,874.1,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,6,0.7405
bookmia.01.31,a_game_of_thrones,0.9949,951.09,653.11,949.65,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,30,0.0
bookmia.01.32,a_game_of_thrones,0.0,763.19,501.09,770.24,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,5,0.0,0,0.0
bookmia.01.33,a_game_of_thrones,0.6158,933.2,632.79,893.19,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,6,0.1947
