n,kl_nats,n_passages,nv_recall_mean,nv_recall_max,lcs_word_mean,rouge_l_mean,rouge_ge_0p3_pct,rouge_ge_0p5_pct,ge_0p01_pct
1,0.0,100,0.4305,0.8182,70.66,0.5553,74.0,57.0,85.0
8,1.2044,100,0.6176,0.8201,99.85,0.7296,96.0,82.0,97.0
64,3.1745,100,0.6842,0.8307,116.57,0.7938,96.0,93.0,98.0
256,4.5491,100,0.6982,0.8307,122.37,0.8021,93.0,92.0,97.0
-1,,100,0.4209,0.8307,,0.5533,75.0,55.0,81.0
