pair,n,s_mean,k_crit,burstiness,onset,ratio,onset_over_k_crit
Pleias-1.2B + mem. Pleias-1.2B,100,3.2094,4.9422,1.5399,2.819,0.8784,0.5704
open-calm-3b + mem. open-calm-3b,100,3.3792,5.2082,1.5412,3.357,0.9934,0.6446
open-calm-1b + mem. open-calm-1b,100,3.3628,5.1847,1.5418,3.4524,1.0266,0.6659
Pleias-350M + mem. Pleias-350M,100,3.5544,5.5027,1.5482,3.1796,0.8946,0.5778
KL3M-520M + mem. KL3M-520M,100,2.4147,3.7912,1.57,2.5429,1.0531,0.6707
KL3M-1.7B + mem. KL3M-1.7B,100,2.2112,3.6439,1.6479,2.578,1.1659,0.7075
Phi-3.5-mini + mem. Phi-3.5-mini,100,2.8374,5.5557,1.958,2.6277,0.9261,0.473
TinyComma-1.8B + memorised Llama-3.1-8B,100,3.2386,13.9321,4.3019,2.8727,0.887,0.2062
Comma-7B + memorised Comma-7B,100,2.3935,11.3186,4.7289,2.134,0.8916,0.1885
