arm,n_passages,blocked_steps,nv_recall_mean,nv_recall_max,lcs_word_mean,rouge_l_mean,rouge_ge_0p3_count,rouge_ge_0p5_count,ge_0p01_pct
-1,100,0,0.4104,0.5556,75.48,0.5813,90,79,92.0
tokenswap,100,2132,0.0,0.0,3.8,0.15,0,0,0.0
