pair,temperature,n,s_safe_median,s_risky_median,sr_over_ss_median,pred_onset_median,pred_ratio_median,req_q01,req_q05,req_q10,req_q25,req_median,measured_onset,measured_ratio,pred_over_meas_median,pred_over_meas_q25
KL3M-520M + mem. KL3M-520M (BookMIA),1.0,100,2.4316326727999997,0.23449514969915464,0.09643526850177413,2.197137523100845,0.9035647314982259,1.6528022925636128,1.776290942926307,1.8651118406880178,2.000558686568233,2.1719531356754116,,,,
Pleias-1.2B + mem. Pleias-1.2B (BookMIA),1.0,100,3.048079572669047,0.43456438155815735,0.1425698939931649,2.6135151911108894,0.8574301060068351,0.5388244856996758,1.7777523494751755,1.9465525769205643,2.2417517431254215,2.5688282136618534,,,,
Phi-3.5-mini + mem. Phi-3.5-mini (BookMIA),1.0,100,2.6282602046115615,0.009374061785335048,0.003566641449308277,2.6188861428262267,0.9964333585506917,1.0531521990412382,1.7712292510521537,1.9558066168283772,2.2851926494589563,2.572255854237234,,,,
