quantity,arm,value,lo95,hi95,n,single_order,reading
"D1 selection gain, order-averaged",sel_n256,0.0935,0.0755,0.1115,805,0.0702,SURVIVES
"D2 metered gain, order-averaged",metered_k1,0.1174,0.0991,0.1354,805,0.0938,SURVIVES
"D3 difference of gains, paired",sel_n256 - metered_k1,-0.0239,-0.0429,-0.005,805,-0.0236,REVERSAL REFUTED
order consistency,sel_n256,0.3056,,,805,,UNUSABLE
order consistency,sel_n1,0.3801,,,805,,UNUSABLE
order consistency,metered_k1,0.3354,,,805,,UNUSABLE
order consistency,anchor_k0,0.3801,,,805,,UNUSABLE
