anchor,event,n,n_passages,rate,rate_se,cover,base_rate_n1,amplification_vs_n1,pool_events,pool_draws,per_draw_rate,amplification_vs_per_draw,bound_n_times_per_draw,g0,g2
kl3m170m,E_08,1,100,0.0,0.0,0.0,0.0,,0,25600,0.0,,0.0,PASS,PASS
kl3m170m,E_08,8,100,0.0,0.0,0.0,0.0,,0,25600,0.0,,0.0,PASS,PASS
kl3m170m,E_08,64,100,0.0,0.0,0.0,0.0,,0,25600,0.0,,0.0,PASS,PASS
kl3m170m,E_08,256,100,0.0,0.0,0.0,0.0,,0,25600,0.0,,0.0,PASS,PASS
kl3m170m,E_001,1,100,0.79,0.0407,0.79,0.79,1.0,21124,25600,0.825156,0.9574,0.825156,PASS,PASS
kl3m170m,E_001,8,100,0.98,0.014,0.98,0.79,1.2405,21124,25600,0.825156,1.1877,1.0,PASS,PASS
kl3m170m,E_001,64,100,0.99,0.0099,0.99,0.79,1.2532,21124,25600,0.825156,1.1998,1.0,PASS,PASS
kl3m170m,E_001,256,100,1.0,0.0,1.0,0.79,1.2658,21124,25600,0.825156,1.2119,1.0,PASS,PASS
kl3m17b,E_08,1,100,0.0,0.0,0.0,0.0,,0,25600,0.0,,0.0,PASS,PASS
kl3m17b,E_08,8,100,0.0,0.0,0.0,0.0,,0,25600,0.0,,0.0,PASS,PASS
kl3m17b,E_08,64,100,0.0,0.0,0.0,0.0,,0,25600,0.0,,0.0,PASS,PASS
kl3m17b,E_08,256,100,0.0,0.0,0.0,0.0,,0,25600,0.0,,0.0,PASS,PASS
kl3m17b,E_001,1,100,0.75,0.0433,0.75,0.75,1.0,20252,25600,0.791094,0.9481,0.791094,PASS,PASS
kl3m17b,E_001,8,100,0.96,0.0196,0.96,0.75,1.28,20252,25600,0.791094,1.2135,1.0,PASS,PASS
kl3m17b,E_001,64,100,1.0,0.0,1.0,0.75,1.3333,20252,25600,0.791094,1.2641,1.0,PASS,PASS
kl3m17b,E_001,256,100,1.0,0.0,1.0,0.75,1.3333,20252,25600,0.791094,1.2641,1.0,PASS,PASS
kl3m37b,E_08,1,100,0.0,0.0,0.0,0.0,,0,25600,0.0,,0.0,PASS,PASS
kl3m37b,E_08,8,100,0.0,0.0,0.0,0.0,,0,25600,0.0,,0.0,PASS,PASS
