judge,selector,n,kl_nats,n_prompts,u,u_lo95,u_hi95,gain,gain_lo95,gain_hi95,mean_words,spearman_u_logn
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),1,0.0,500,0.295,0.265,0.325,0.0,0.0,0.0,70.6,1.0
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),2,0.1931,500,0.303,0.272,0.334,0.008,-0.018,0.034,71.0,1.0
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),4,0.6363,500,0.304,0.272,0.335,0.009,-0.025,0.04,71.4,1.0
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),8,1.2044,500,0.32,0.288,0.351,0.025,-0.01,0.06,70.5,1.0
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),16,1.8351,500,0.336,0.302,0.369,0.041,0.002,0.08,70.3,1.0
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),32,2.497,500,0.356,0.322,0.388,0.061,0.026,0.097,66.6,1.0
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),64,3.1745,500,0.367,0.333,0.402,0.072,0.037,0.107,61.0,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),1,0.0,500,0.223,0.187,0.257,0.0,0.0,0.0,70.6,0.991
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),2,0.1931,500,0.225,0.189,0.263,0.002,-0.022,0.026,71.0,0.991
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),4,0.6363,500,0.243,0.206,0.279,0.02,-0.014,0.056,71.4,0.991
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),8,1.2044,500,0.247,0.209,0.286,0.024,-0.014,0.062,70.5,0.991
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),16,1.8351,500,0.259,0.219,0.299,0.036,-0.004,0.076,70.3,0.991
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),32,2.497,500,0.259,0.221,0.295,0.036,-0.004,0.076,66.6,0.991
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),64,3.1745,500,0.294,0.254,0.334,0.071,0.029,0.115,61.0,0.991
