prompt_id,novel,risky_alone_recall,risky_alone_rouge,anchor_mean_recall,anchor_max_recall,anchor_max_rouge,pool_ge_0p8,pool_ge_0p01,recall_n1,lcs_n1,rouge_n1,oracle_recall_n1,oracle_rouge_n1,recall_n8,lcs_n8,rouge_n8,oracle_recall_n8,oracle_rouge_n8,recall_n64,lcs_n64,rouge_n64,oracle_recall_n64,oracle_rouge_n64,recall_n256,lcs_n256,rouge_n256,oracle_recall_n256,oracle_rouge_n256
bookmia.01.22,a_game_of_thrones,0.6965,0.8046,0.2552,0.4776,0.6465,0,235,0.3234,35,0.4698,0.3234,0.4698,0.3234,65,0.48,0.3234,0.5119,0.4776,96,0.6465,0.4776,0.6465,0.4776,96,0.6465,0.4776,0.6465
bookmia.01.23,a_game_of_thrones,0.2663,0.3853,0.087,0.5272,0.6879,0,63,0.0,6,0.1479,0.0,0.1479,0.5272,97,0.6879,0.5272,0.6879,0.5272,97,0.6879,0.5272,0.6879,0.5272,97,0.6879,0.5272,0.6879
bookmia.01.26,a_game_of_thrones,0.285,0.4478,0.0039,0.335,0.5084,0,6,0.0,17,0.2222,0.0,0.2222,0.0,14,0.173,0.0,0.2222,0.335,67,0.5084,0.335,0.5084,0.335,67,0.5084,0.335,0.5084
bookmia.01.27,a_game_of_thrones,0.6649,0.7439,0.03,0.5135,0.6786,0,24,0.0,6,0.1523,0.0,0.1523,0.2054,38,0.4357,0.2054,0.4357,0.3297,61,0.4982,0.3297,0.4982,0.5135,95,0.6786,0.5135,0.6786
bookmia.01.31,a_game_of_thrones,0.2359,0.3561,0.2498,0.5179,0.6869,0,153,0.0,17,0.2847,0.0,0.2847,0.5128,85,0.6712,0.5128,0.6801,0.5128,100,0.678,0.5179,0.6801,0.5128,100,0.678,0.5179,0.6869
bookmia.01.32,a_game_of_thrones,0.0,0.1808,0.0448,0.4973,0.6643,0,42,0.0,15,0.2131,0.0,0.2131,0.0,17,0.2101,0.2086,0.331,0.4973,93,0.6643,0.4973,0.6643,0.4973,93,0.6643,0.4973,0.6643
bookmia.01.33,a_game_of_thrones,0.7158,0.8257,0.2869,0.4789,0.6454,0,219,0.4789,91,0.6454,0.4789,0.6454,0.4789,91,0.6454,0.4789,0.6454,0.4789,91,0.6454,0.4789,0.6454,0.4789,91,0.6454,0.4789,0.6454
bookmia.01.36,a_game_of_thrones,0.6946,0.7933,0.3775,0.5074,0.6667,0,254,0.2906,59,0.4466,0.2906,0.4466,0.5025,102,0.6667,0.5025,0.6667,0.5025,102,0.6667,0.5074,0.6667,0.5025,102,0.6667,0.5074,0.6667
bookmia.01.37,a_game_of_thrones,0.6649,0.7602,0.3027,0.5691,0.6824,0,248,0.4574,83,0.5933,0.4574,0.5933,0.4574,83,0.5933,0.4574,0.6169,0.4574,83,0.5933,0.4574,0.6216,0.5691,83,0.6824,0.5691,0.6824
bookmia.01.39,a_game_of_thrones,0.24,0.3429,0.0985,0.295,0.4459,0,208,0.12,24,0.2789,0.12,0.2789,0.12,24,0.2207,0.12,0.2789,0.295,35,0.4459,0.295,0.4459,0.295,35,0.4459,0.295,0.4459
bookmia.01.41,a_game_of_thrones,0.0,0.1453,0.0577,0.5194,0.6815,0,104,0.0971,20,0.2434,0.0971,0.2434,0.0,19,0.2293,0.0971,0.2434,0.5194,107,0.6815,0.5194,0.6815,0.5194,107,0.6815,0.5194,0.6815
bookmia.01.42,a_game_of_thrones,0.0,0.1862,0.204,0.4829,0.6561,0,166,0.122,25,0.2772,0.122,0.2772,0.4829,49,0.6323,0.4829,0.6323,0.4732,97,0.6343,0.4829,0.641,0.4732,97,0.6343,0.4829,0.6561
bookmia.01.43,a_game_of_thrones,0.0,0.1448,0.2032,0.4143,0.5859,0,199,0.2857,60,0.44,0.2857,0.44,0.3476,73,0.5267,0.3476,0.5267,0.4143,87,0.5859,0.4143,0.5859,0.4143,87,0.5859,0.4143,0.5859
bookmia.01.44,a_game_of_thrones,0.1923,0.337,0.2637,0.4808,0.6472,0,193,0.2644,45,0.4211,0.2644,0.4211,0.4808,100,0.6472,0.4808,0.6472,0.4808,100,0.6472,0.4808,0.6472,0.4808,100,0.6472,0.4808,0.6472
bookmia.01.46,a_game_of_thrones,0.1465,0.2727,0.2265,0.4899,0.6508,0,227,0.1667,33,0.3289,0.1667,0.3289,0.3889,77,0.5743,0.3889,0.5802,0.4899,92,0.6508,0.4899,0.6508,0.4899,92,0.6508,0.4899,0.6508
bookmia.01.49,a_game_of_thrones,0.3366,0.468,0.2711,0.478,0.6447,0,220,0.3366,67,0.4906,0.3366,0.4906,0.4244,87,0.5916,0.4244,0.5948,0.4244,87,0.5974,0.4488,0.6065,0.478,98,0.6447,0.478,0.6447
bookmia.01.51,a_game_of_thrones,0.75,0.8464,0.4157,0.467,0.6367,0,243,0.3868,82,0.5577,0.3868,0.5577,0.467,99,0.6367,0.467,0.6367,0.467,99,0.6367,0.467,0.6367,0.467,99,0.6367,0.467,0.6367
bookmia.01.52,a_game_of_thrones,0.6812,0.8103,0.2438,0.4493,0.6133,0,192,0.0,17,0.2475,0.0,0.2475,0.4444,92,0.6133,0.4444,0.6133,0.4493,72,0.6087,0.4493,0.6133,0.4493,72,0.6087,0.4493,0.6133
bookmia.01.58,a_game_of_thrones,0.0,0.1468,0.1799,0.4684,0.6386,0,233,0.0,6,0.1581,0.0,0.1581,0.2263,43,0.3862,0.2263,0.3862,0.4526,66,0.6294,0.4526,0.6294,0.4684,89,0.6364,0.4684,0.6386
bookmia.01.59,a_game_of_thrones,0.3615,0.5108,0.0476,0.4507,0.6214,0,44,0.0,2,0.1258,0.0,0.1258,0.4507,96,0.6214,0.4507,0.6214,0.4507,96,0.6214,0.4507,0.6214,0.4507,96,0.6214,0.4507,0.6214
