published_k,alpha,k_matched,price_nats,logp_target,nats_per_window,off_grid
1.0,1.0,1.0,5820.994,-4093.765,0.0,False
1.0,2.0,1.6266,5820.994,-5193.557,10.366,False
1.0,4.0,2.2556,5820.994,-5789.826,15.985,False
1.0,8.0,2.6726,5820.994,-5809.402,16.17,False
3.0,1.0,3.0,7311.912,-1161.142,0.0,False
3.0,2.0,4.7421,7311.912,-1535.583,3.529,False
3.0,4.0,5.5371,7311.912,-1538.721,3.559,False
3.0,8.0,6.2976,7311.912,-1362.753,1.9,False
