prompt_id,novel,risky_alone_recall,risky_alone_rouge,anchor_mean_recall,anchor_max_recall,anchor_max_rouge,pool_ge_0p8,pool_ge_0p01,recall_n1,lcs_n1,rouge_n1,oracle_recall_n1,oracle_rouge_n1
bookmia.17.00,harry_potter_and_the_sorcerer's_stone,0.0,0.1222,0.0,0.0,0.1009,0,0,0.0,2,0.1009,0.0,0.1009
bookmia.17.03,harry_potter_and_the_sorcerer's_stone,0.0,0.0816,0.0,0.0,0.1043,0,0,0.0,2,0.1043,0.0,0.1043
bookmia.17.04,harry_potter_and_the_sorcerer's_stone,0.0,0.1071,0.0,0.0,0.109,0,0,0.0,2,0.109,0.0,0.109
bookmia.17.06,harry_potter_and_the_sorcerer's_stone,0.0,0.1092,0.0,0.0,0.1408,0,0,0.0,2,0.1408,0.0,0.1408
bookmia.17.08,harry_potter_and_the_sorcerer's_stone,0.0,0.12,0.0,0.0,0.1014,0,0,0.0,2,0.1014,0.0,0.1014
bookmia.17.11,harry_potter_and_the_sorcerer's_stone,0.0,0.1463,0.0,0.0,0.0927,0,0,0.0,2,0.0927,0.0,0.0927
bookmia.17.12,harry_potter_and_the_sorcerer's_stone,0.0,0.0914,0.0,0.0,0.1,0,0,0.0,1,0.1,0.0,0.1
bookmia.17.13,harry_potter_and_the_sorcerer's_stone,0.0,0.1008,0.0,0.0,0.1275,0,0,0.0,2,0.1275,0.0,0.1275
bookmia.17.14,harry_potter_and_the_sorcerer's_stone,0.0,0.1146,0.0,0.0,0.0796,0,0,0.0,2,0.0796,0.0,0.0796
bookmia.17.16,harry_potter_and_the_sorcerer's_stone,0.0,0.1586,0.0,0.0,0.105,0,0,0.0,2,0.105,0.0,0.105
bookmia.17.18,harry_potter_and_the_sorcerer's_stone,0.0,0.0698,0.0,0.0,0.1059,0,0,0.0,2,0.1059,0.0,0.1059
bookmia.17.22,harry_potter_and_the_sorcerer's_stone,0.0,0.0858,0.0,0.0,0.1212,0,0,0.0,2,0.1212,0.0,0.1212
bookmia.17.24,harry_potter_and_the_sorcerer's_stone,0.0,0.0818,0.0,0.0,0.0952,0,0,0.0,2,0.0952,0.0,0.0952
bookmia.17.26,harry_potter_and_the_sorcerer's_stone,0.0,0.1067,0.0,0.0,0.0872,0,0,0.0,2,0.0872,0.0,0.0872
bookmia.17.28,harry_potter_and_the_sorcerer's_stone,0.0,0.1144,0.0,0.0,0.104,0,0,0.0,1,0.104,0.0,0.104
bookmia.17.31,harry_potter_and_the_sorcerer's_stone,0.0,0.1397,0.0,0.0,0.1436,0,0,0.0,4,0.1436,0.0,0.1436
bookmia.17.32,harry_potter_and_the_sorcerer's_stone,0.0,0.1155,0.0,0.0,0.1095,0,0,0.0,2,0.1095,0.0,0.1095
bookmia.17.33,harry_potter_and_the_sorcerer's_stone,0.0,0.0394,0.0,0.0,0.1214,0,0,0.0,2,0.1214,0.0,0.1214
bookmia.17.35,harry_potter_and_the_sorcerer's_stone,0.0,0.0807,0.0,0.0,0.0748,0,0,0.0,2,0.0748,0.0,0.0748
bookmia.17.38,harry_potter_and_the_sorcerer's_stone,0.0,0.0934,0.0,0.0,0.1133,0,0,0.0,2,0.1133,0.0,0.1133
