judge,selector,n,kl_nats,n_prompts,u,u_lo95,u_hi95,gain,gain_lo95,gain_hi95,mean_words,spearman_u_logn
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),1,0.0,500,0.402,0.367,0.435,0.0,0.0,0.0,125.3,0.8214
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),2,0.1931,500,0.413,0.379,0.447,0.011,-0.018,0.044,130.0,0.8214
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),4,0.6363,500,0.41,0.377,0.445,0.008,-0.028,0.044,134.1,0.8214
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),8,1.2044,500,0.436,0.403,0.469,0.034,-0.007,0.075,135.3,0.8214
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),16,1.8351,500,0.435,0.403,0.468,0.033,-0.008,0.075,134.9,0.8214
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),32,2.497,500,0.433,0.399,0.467,0.031,-0.012,0.075,135.5,0.8214
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),64,3.1745,500,0.442,0.408,0.475,0.04,-0.004,0.082,136.3,0.8214
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),1,0.0,500,0.323,0.282,0.365,0.0,0.0,0.0,125.3,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),2,0.1931,500,0.34,0.3,0.382,0.017,-0.012,0.046,130.0,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),4,0.6363,500,0.386,0.345,0.428,0.063,0.028,0.099,134.1,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),8,1.2044,500,0.417,0.375,0.459,0.094,0.053,0.135,135.3,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),16,1.8351,500,0.449,0.404,0.494,0.126,0.08,0.172,134.9,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),32,2.497,500,0.49,0.444,0.536,0.167,0.118,0.214,135.5,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),64,3.1745,500,0.514,0.471,0.557,0.191,0.141,0.241,136.3,1.0
