n,kl_nats,n_passages,nv_recall_mean,nv_recall_max,lcs_word_mean,rouge_l_mean,rouge_ge_0p3_pct,rouge_ge_0p5_pct,ge_0p01_pct
1,0.0,100,0.2379,0.4145,50.04,0.4046,72.0,46.0,78.0
8,1.2044,100,0.3149,0.4145,64.58,0.482,89.0,73.0,93.0
64,3.1745,100,0.3358,0.4145,68.37,0.5012,96.0,79.0,98.0
256,4.5491,100,0.3492,0.4145,70.24,0.5164,99.0,84.0,100.0
-1,,100,0.3925,0.8154,,0.5195,71.0,47.0,78.0
