arm,scorer_b,n,cost_vs_metered,nats_certified,gain,lo95,hi95,n_prompts,separates
sel05b_n2,0.494,2,0.46,0.6931,0.007,-0.008,0.0215,500,False
sel05b_n4,0.494,4,0.92,1.3863,0.007,-0.0115,0.0255,500,False
sel05b_n8,0.494,8,1.841,2.0794,0.0285,0.0085,0.048,500,True
sel05b_n16,0.494,16,3.682,2.7726,0.0395,0.0205,0.058,500,True
sel05b_n32,0.494,32,7.364,3.4657,0.0365,0.0155,0.058,500,True
sel05b_n64,0.494,64,14.728,4.1589,0.023,0.0005,0.0445,500,True
sel15b_n2,1.5437,2,0.675,0.6931,0.0235,0.0095,0.0375,500,True
sel15b_n4,1.5437,4,1.349,1.3863,0.0285,0.01,0.0465,500,True
sel15b_n8,1.5437,8,2.699,2.0794,0.0575,0.0375,0.0765,500,True
sel15b_n16,1.5437,16,5.398,2.7726,0.0755,0.055,0.0955,500,True
sel15b_n32,1.5437,32,10.795,3.4657,0.084,0.063,0.105,500,True
sel15b_n64,1.5437,64,21.59,4.1589,0.091,0.0695,0.1125,500,True
sel3b_n2,3.0859,2,0.99,0.6931,0.0105,-0.0035,0.0245,500,False
sel3b_n4,3.0859,4,1.98,1.3863,0.0215,0.0025,0.04,500,True
sel3b_n8,3.0859,8,3.959,2.0794,0.0565,0.037,0.0765,500,True
sel3b_n16,3.0859,16,7.918,2.7726,0.068,0.0465,0.09,500,True
sel3b_n32,3.0859,32,15.837,3.4657,0.0855,0.064,0.107,500,True
sel3b_n64,3.0859,64,31.673,4.1589,0.1025,0.08,0.1255,500,True
sel7b_n2,7.6156,2,1.915,0.6931,0.019,0.0045,0.0335,500,True
sel7b_n4,7.6156,4,3.831,1.3863,0.029,0.01,0.0485,500,True
sel7b_n8,7.6156,8,7.661,2.0794,0.0465,0.0255,0.0675,500,True
sel7b_n16,7.6156,16,15.322,2.7726,0.0685,0.046,0.091,500,True
sel7b_n32,7.6156,32,30.644,3.4657,0.0965,0.0735,0.12,500,True
sel7b_n64,7.6156,64,61.289,4.1589,0.1095,0.0865,0.132,500,True
sel14b_n2,14.77,2,3.377,0.6931,0.0125,-0.0025,0.0275,500,False
sel14b_n4,14.77,4,6.754,1.3863,0.027,0.008,0.0455,500,True
sel14b_n8,14.77,8,13.508,2.0794,0.0565,0.0365,0.0765,500,True
sel14b_n16,14.77,16,27.016,2.7726,0.054,0.033,0.076,500,True
sel14b_n32,14.77,32,54.032,3.4657,0.076,0.0545,0.0975,500,True
sel14b_n64,14.77,64,108.065,4.1589,0.081,0.06,0.103,500,True
sel72b_n2,72.7062,2,15.214,0.6931,0.021,0.007,0.035,500,True
sel72b_n4,72.7062,4,30.428,1.3863,0.0335,0.015,0.052,500,True
sel72b_n8,72.7062,8,60.857,2.0794,0.049,0.029,0.0695,500,True
sel72b_n16,72.7062,16,121.713,2.7726,0.07,0.048,0.0915,500,True
sel72b_n32,72.7062,32,243.426,3.4657,0.092,0.0705,0.1135,500,True
sel72b_n64,72.7062,64,486.852,4.1589,0.101,0.078,0.1235,500,True
metered_k10,,,1.0,2000.0,0.039,0.0135,0.065,500,True
